rowid,mpl_hostname,mpl_letter,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_dens,mpl_orbincl,ra,dec,mst_teff,mst_mass,mst_rad,hd_name,mpl_name,mpl_eqt,mpl_masse,mpl_rade,mpl_status,mpl_mnum,rowupdate,mst_lum
111,HAT-P-7,b,Transit,1,2.204737,0.0377,0,,83.111,292.24731,47.969513,,,,,HAT-P-7 b,1283,564.442,15.043,3,0,14/05/14,
112,HAT-P-7,b,Transit,1,2.2047354,0.0355,0,0.8,83.143,292.24731,47.969513,6350,1.47,1.84,,HAT-P-7 b,1285,566.05523,15.906,3,0,15/10/15,
113,HAT-P-8,b,Transit,1,3.0763776,0.0487,0,0.568,87.5,343.041067,35.447109,6200,1.28,1.58,,HAT-P-8 b,1292,483.08,16.81,3,0,14/05/14,0.519
114,HAT-P-9,b,Transit,1,3.92289,0.053,0,0.35,86.5,110.168529,37.140652,6350,1.28,1.32,,HAT-P-9 b,1300,247.9,15.69,3,0,14/05/14,0.41
115,HATS-1,b,Transit,1,3.446459,0.0444,0.12,1.03,85.6,175.525336,-23.354836,5870,0.986,1.04,,HATS-1 b,1304,589.55,14.594,3,0,14/05/14,0.041
116,HATS-10,b,Transit,1,3.312846,0.04491,0.501,0.7,87.79,294.306813,-22.204477,5880,1.101,1.1,,HATS-10 b,1313,167.17858,10.862,3,0,21/05/15,0.117
117,HATS-13,b,Transit,1,3.0440499,0.04057,0.181,0.377,88.55,316.961465,-26.096655,5523,0.962,0.89,,HATS-13 b,1313,172.58169,13.585,3,0,13/08/15,
118,HATS-14,b,Transit,1,2.7667641,0.03815,0.142,1.191,88.83,313.215479,-25.687334,5346,0.967,0.93,,HATS-14 b,1315,340.39593,11.646,3,0,13/08/15,
119,HATS-17,b,Transit,1,16.254611,0.1308,0.029,3.5,89.08,192.189799,-47.613693,5846,1.131,1.09,,HATS-17 b,1315,425.25654,8.709,3,0,24/03/16,0.093
120,HATS-2,b,Transit,1,1.354133,0.023,0,1.05,87.2,176.739094,-22.562992,5227,0.882,0.9,,HATS-2 b,1320,427.463,13.092,3,0,14/05/14,-0.268
121,HATS-3,b,Transit,1,3.547851,0.0485,0,0.51,86.2,312.45744,-24.428793,6351,1.209,1.4,,HATS-3 b,1322,340.382,15.48,3,0,14/05/14,0.456
122,HATS-4,b,Transit,1,2.516729,0.0362,0.013,1.55,88.5,94.112075,-22.546885,5403,1.001,0.93,,HATS-4 b,1324,420.471,11.433,3,0,02/07/14,-0.187
123,HATS-5,b,Transit,1,4.763387,0.0542,0.019,0.39,89.3,67.222871,-21.481916,5304,0.936,0.87,,HATS-5 b,1330,75.323,10.223,3,0,14/05/14,-0.268
124,HATS-6,b,Transit,1,3.3252725,0.03623,0,0.399,88.21,88.146797,-19.031656,3724,0.574,0.57,,HATS-6 b,1344,101.38777,11.187,3,0,14/05/15,
125,HATS-8,b,Transit,1,3.583893,0.04667,0.376,0.259,87.8,294.941746,-25.748318,5679,1.056,1.09,,HATS-8 b,1350,43.86054,9.785,3,0,17/06/15,
