pdes,a,e,M,pha
9069,1.913236567027241,.1181115300600448,63.62352712890276,N
9084,1.859686256415488,.07780768957973867,332.9845400108202,N
9165,1.98599571116584,.09756766477938517,53.62504534009962,N
9387,1.939225722492707,.08906530479773368,139.0467694025239,N
9554,1.904863108350386,.05043654387004732,121.1170295725866,N
9739,1.939948867909528,.07882799849581656,183.8230996780186,N
9873,1.861764654961827,.07642124825404821,335.5253044984832,N
10531,1.961973955037434,.04366135370033799,319.5684662551428,N
10667,1.963987419298279,.08776363188618022,195.7668098356455,N
10841,1.938552972711028,.05408445975682783,39.46788518298293,N
11058,1.954033435059405,.06998411922121392,42.5325953258087,N
11217,1.943893575792017,.06959652120630432,346.2298304220386,N
11279,1.882864236184499,.04498617941107655,56.9177133984736,N
11304,1.929197659013352,.04664530246740847,131.1502551627742,N
11411,1.842309277697963,.06931219553234698,171.8733817751648,N
11437,1.862945316424065,.09826623785781671,87.03274457967694,N
11789,1.951592334617186,.04975275236151127,183.4467015934686,N
11833,1.962898691351094,.07513571431328311,222.9189281033538,N
11904,1.92048769938353,.09930707454518474,58.28243323477228,N
11941,1.951331955783951,.05028750144240077,68.86003598811703,N
11976,1.979347518626289,.05250222922406386,274.4310026700252,N
12265,1.91074589993734,.03050012642241301,101.8562516277202,N
12267,1.92833622369709,.07030785832246553,303.545311272478,N
12446,1.946729337758682,.11691477257383,34.35506493582313,N
12494,1.922564130447268,.0317123719743647,129.6700178658918,N
13111,1.941400862609693,.09655061133487901,85.90378206295361,N
13186,1.947690841532894,.08270299991405103,22.56073176904358,N
13245,1.93795214982139,.05793855561639862,276.8685560664897,N
13478,1.922544109195506,.1150871139145617,66.6649543316293,N
13578,1.94385455700256,.09232476005151923,65.1396982316318,N
14395,1.96262083218907,.09379900564319896,70.2768503354433,N
14472,1.930410785288979,.1190617719253145,91.99583706491791,N
14764,1.948778857360495,.07801692350021276,355.3674272700072,N
15009,1.950341286159887,.1144422347807274,66.44453628363587,N
15374,1.992816239847031,.1619987221192618,77.9298263868901,N
15692,1.926060904369408,.1020952205847691,203.6436366824265,N
15786,1.883191035698164,.04786413601904884,196.2359286876329,N
15822,1.94791382006665,.08002149226334877,316.565198322323,N
15964,1.952503060703024,.09219314791414826,283.9358840922055,N
16256,1.947402111430247,.08814132649489649,286.4028843391821,N
16421,1.930733619031769,.06354862891502371,97.83384165418562,N
16426,1.933366364442901,.1000888431932351,264.3035189525139,N
16562,1.946469858444614,.07317047816736874,327.9804408047793,N
16585,1.923356873526426,.1049470818222082,240.0361576599387,N
16589,1.933704453301068,.07851122488049356,236.7623242856915,N
16669,1.9340385136334,.08484547301346163,126.1961536445317,N
16681,1.893433658655848,.06360188783525397,240.334910036345,N
17083,1.957827461256901,.1003357166133808,169.9984656024373,N
17259,1.954954325241026,.07239071855382123,179.6248307737601,N
17399,1.919159249282138,.1178052609946821,39.39637731387867,N
17408,1.883187334942544,.1069239963804657,296.1748966345079,N
17447,1.940699690702357,.1152866276851281,113.4625343264192,N
17483,1.853236001939751,.04078314768533563,279.705064217979,N
17590,1.960803878655792,.07531635876567455,75.39398528530307,N
17601,1.819498746573047,.06459167560563189,184.9616163036293,N
17657,1.927222517214538,.08713485445713683,122.769175690169,N
17681,1.825269346831967,.02984311140240168,241.760290349986,N
17824,1.94029851742168,.03154569654659205,238.4133937222332,N
18368,1.92757404095798,.05436638679195092,128.0248761433046,N
18582,1.858573724878183,.06764470746784516,137.7189802133201,N
18626,1.912976490308691,.085763711646082,29.42264092279336,N
