name,N,i,w,a,e,M,pha
Laetitia,157.1152360230907,10.38097787044872,208.2353682926463,2.768164817263826,.1136641226697552,45.78671472172849,N
Harmonia,94.23531548200772,4.257260698717035,268.899169018455,2.267393624372405,.0465237296045108,121.9430173202879,N
Daphne,178.0932361290222,15.79654507596143,45.97060799896276,2.759558463227792,.2756317747805264,236.3259384316442,N
Isis,84.21185367540009,8.512523222473442,237.2520310973127,2.442861475095823,.2221441882980652,253.5777211170876,N
Ariadne,264.8619192941087,3.470603911126191,16.2792005204754,2.20286311571304,.1688058563925319,136.2351550695787,N
Nysa,131.5582318429121,3.706897342504613,343.268683047504,2.422867337510738,.1485711494762311,129.2419779558293,N
Eugenia,147.677978657766,6.603786604254556,88.67508455779652,2.720623670998036,.08354918314274663,134.2268118673889,N
Hestia,181.0972427312694,2.345442359649592,176.8108274582353,2.526853502998644,.1714420415281817,136.055244897765,N
Aglaja,3.118129771053208,4.983281145588332,313.998167887847,2.880938208343909,.1321454955213026,171.3762397334181,N
Doris,183.5686581340088,6.547059804490168,253.5846966548285,3.110547402710373,.07316161906050961,213.3441660766267,N
Pales,285.98757164277,3.173789846332901,110.2161776290407,3.092656675296465,.2271873342235751,25.35756334172592,N
Virginia,173.5342415644965,2.837964049141712,200.2152585032875,2.649132642931582,.285811691914486,244.0377161329277,N
Nemausa,176.0194716858012,9.980141078202038,2.299371315766746,2.365639030595445,.06692148047417361,131.2762851809039,N
Europa,128.7288043396416,7.482198015800247,344.3746024211765,3.096338950130998,.10827495119462,19.1427680206231,N
Kalypso,143.560658964864,5.171678342280869,313.3703894975432,2.616386172489107,.2062499894970235,144.878218133159,N
Alexandra,313.3327097571934,11.80165992509272,345.1897815430647,2.709748819070089,.1982673212162323,112.9972754410693,N
Pandora,10.42405081602157,7.186066199590434,4.139387310597213,2.760959383741583,.1421669329765214,104.6346321344472,N
Melete,192.9979827991321,8.080310477494416,105.0380643837065,2.596411744913079,.2372597211270825,323.8374934547867,N
Mnemosyne,199.204385245581,15.21447403453394,211.0212179061414,3.152718888209736,.1142375038051154,291.4549695729335,N
Concordia,161.1220398273048,5.065763380720814,29.93355382350892,2.699571933157642,.04325515689323029,32.7746289428995,N
Elpis,170.0358526715071,8.641246386514583,211.4741620606269,2.712172510805667,.1192903403996908,254.0152206257662,N
Echo,191.5961286071388,3.601165529090919,270.9632628132523,2.393191431875489,.1834052222928199,249.2119859194038,N
Danae,333.7272540810125,18.21205877941717,12.80773074405502,2.982636098506694,.1672115822881459,42.12568900100594,N
Erato,125.5697398799802,2.230002870369724,274.0768074527463,3.127080236040783,.170981760787416,28.8495492387929,N
Ausonia,337.7674284892179,5.780205912983265,295.9624204764389,2.394486258006329,.1277394420866666,180.462763814084,N
Cybele,155.6353376902956,3.562866350817318,102.349919933357,3.428985522698463,.1109464713802534,74.97727358575561,N
Maja,7.523957160963545,3.047182934997414,44.15628907062476,2.648227376289812,.1713058513764523,104.1170202865077,N
Asia,202.4454905982838,6.030075127712682,107.1628211228112,2.421404122494518,.1848598277797836,324.4890899513525,N
Leto,44.12804740482913,7.971455333206574,304.8626982269712,2.781449623468918,.1871691071406844,6.192563865631161,N
Hesperia,184.99645410537,8.592286281460845,289.5145890765302,2.976223886349304,.1707689984214518,70.29199431422442,N
Panopaea,47.73519443331111,11.5910446749359,255.3867383919454,2.61454051298054,.1820290666628936,150.9004526965757,N
Niobe,316.0334710774785,23.26502636368987,266.715689396959,2.755786874853351,.1733307186276851,5.888383419313193,N
Feronia,207.9724721565114,5.416382267545013,103.0885419634132,2.2662830489533,.1210366640003961,19.89159613598162,N
Klytia,7.032778622634459,2.370949514855599,52.93349552532345,2.66456098630275,.04374056198548109,244.1997940414143,N
Galatea,197.2716352540934,4.077714176599299,174.139357941593,2.778009467653309,.239827829721704,19.92129459546519,N
Eurydike,359.4220107438773,5.001119967181807,339.4062353591674,2.671894517896941,.3055779118137641,51.0456094530845,N
Freia,204.3014693890192,2.121217992016128,252.7903457652662,3.412478188262162,.1658926957407879,95.96257362874533,N
Frigga,1.278827317480269,2.429218449303637,60.87368255976786,2.66899727838247,.1304458198455501,13.17891706740458,N
Diana,333.4179390631326,8.704154209706248,152.9826076730268,2.619494656142512,.2078962017335623,38.93459411202998,N
Eurynome,206.6225613154244,4.617146060025521,200.8254686597747,2.444740734938187,.1913106975085629,279.818933428011,N
Sappho,218.7610722168968,8.664272727815197,139.2266478620944,2.296174139440913,.1998574357849799,117.8124512240877,N
Terpsichore,.9872739176416446,7.805404801104761,51.83238939712756,2.857732575854529,.2083460978155944,101.7235166180344,N
Alkmene,25.50159537679268,2.829010227421989,111.3603390239371,2.764830606174799,.2186710979257751,278.2020608008577,N
Beatrix,27.74538969468922,4.964493097369255,168.9455952286391,2.431655144211747,.08204117043790081,277.4744088981301,N
Klio,327.6000733730969,9.329916794286923,14.74069566738584,2.36273446157975,.2361581305140866,142.12501075064,N
Io,203.1235902552199,11.96119057894193,123.1652977017736,2.652403087027575,.1938604179471868,306.7697590397394,N
Semele,86.20385681517813,4.814720870412234,308.809592916628,3.11289040218702,.2119363248303739,135.962906036149,N
Sylvia,73.05680881281093,10.87813759191831,263.6630486224261,3.479434329710219,.09211253897064714,270.6230216252966,N
Thisbe,276.6782436208772,5.214085865821834,35.90601548260261,2.767700555084209,.16393187265612,152.7149039756805,N
Julia,311.5764926051406,16.12828377533061,45.39104242916695,2.550954194317256,.1839816093550994,207.021783860527,N
Antiope,69.97367709204404,2.207200278376646,244.8748227610478,3.148684523165271,.1652257636004839,293.6196776113165,N
Aegina,10.66032390524606,2.106689201935519,72.74761027570543,2.590195691997883,.1064833217337029,244.5576037566676,N
Undina,101.5925682139842,9.929747399191108,239.5546982075543,3.187581780481767,.1038751250273814,331.4358259862573,N
Minerva,4.065549297304048,8.561046344186686,274.7030085823411,2.755361050295288,.1405732821087545,218.8080468892094,N
Aurora,2.599775466626262,7.972584801449483,61.17963265091716,3.162850799013323,.09129677967673396,97.36537235062184,N
Arethusa,243.0390404040642,12.99638601489051,154.2476718737228,3.064202218455439,.1524848345026552,213.3760783948925,N
Aegle,321.6288294999765,15.96837383567047,208.7810388799473,3.051315783405268,.139275848493961,242.1268275560338,N
Klotho,159.706172973572,11.78391667607037,268.6220640009844,2.670849558071196,.254599487227578,39.97294400044736,N
Ianthe,354.0001002095085,15.57807803034798,158.6435923069595,2.688671098853618,.1858697570775444,217.3569789569045,N
Dike,41.53156292527189,13.84782856718846,195.3805294669807,2.665585280754839,.1950621745556221,332.9166933455566,N
Hekate,127.2029539039951,6.429756189425074,184.7725158195776,3.089806072706367,.1683974088943969,28.31771627111944,N
Helena,343.4253984862664,10.20146322289402,347.7595931635117,2.585514768380768,.139795410027504,189.1787584579926,N
Miriam,210.8575783039024,5.178029108545338,147.2653708170108,2.66104486415848,.2529919080622454,338.4886812051359,N
Hera,136.1876362003024,5.419492815839718,188.4472028425037,2.701366409383459,.08121852858715131,88.84472068840667,N
Klymene,41.73037577242818,2.789040467071231,32.16660325360146,3.15283170265218,.1568376539010452,66.32308905334921,N
Artemis,188.2645754357716,21.44428314267307,57.10604904358409,2.373080089119425,.1777828069209891,202.9417229282251,N
Dione,62.16230223491259,4.597021305022878,329.7431597340117,3.17503465320107,.1666755654830376,16.65497239908355,N
Camilla,172.6120087282804,10.00265198985074,306.896762711284,3.488507310517496,.06636795231120304,144.8568315348188,N
Hecuba,350.0140453818869,4.220657479864035,204.497557353979,3.238963945686795,.05551903584241192,132.9848886753846,N
Felicitas,3.161996586171743,7.881341605843138,56.38557586915808,2.697100398148684,.2968216405016118,346.1861838519379,N
Lydia,56.87450358631832,5.964742665210235,283.5821512765747,2.732087906519071,.08091310764316788,304.6160024991287,N
Ate,305.755507440708,4.932207990793649,166.4155682406114,2.593108017561793,.1034834828290518,143.4133783838394,N
Iphigenia,323.5359427148501,2.603842167583027,16.5892826663024,2.433264881104994,.1284928865306854,118.1532999431873,N
Amalthea,123.4894731238812,5.04221985864108,79.05639288351469,2.376286266137616,.08653069948164704,172.7201165989054,N
Kassandra,164.2223649067751,4.936650402135266,352.1647411456754,2.678008257170683,.1354197893123253,152.0974527225778,N
Thyra,308.912522757995,11.59988294360451,96.82324756793777,2.379863953968727,.1917573305041559,54.85628424247602,N
Sirona,63.73717856035903,3.563586814901251,95.00383742164394,2.766217338546795,.1420931790503817,324.6872920530008,N
Lomia,348.7897464827016,14.90244172441877,52.70654334460017,2.991771170043969,.02810460674319448,279.1454569820278,N
Peitho,47.7049616871201,7.74275789060482,33.34681539668378,2.43711163105679,.1630438793588994,359.4038304176883,N
Althaea,203.6793167546712,5.783035801141884,169.9022781233994,2.581049226754967,.08074173869027323,67.43761108800022,N
Lachesis,341.1942791082852,6.964262428074182,232.6831614408467,3.117395333949419,.05251656425222995,20.52640943921557,N
Hermione,73.13141616682181,7.596851113461724,298.3154191695482,3.448269964613031,.1337687909002513,33.70244424284235,N
Gerda,178.1443221229233,1.639995790311309,321.4038620665108,3.223429364604616,.03266530323251792,129.7692519702068,N
Brunhild,307.8645626456884,6.418566406784246,125.8080611793337,2.696148952895105,.1186297223136144,52.48232465272951,N
Alkeste,187.9882905696618,2.956345345606513,61.22238931900151,2.631431714720206,.075858107222913,297.7845748437783,N
Liberatrix,169.0000155590619,4.663245946082906,108.9005031229259,2.74553224949582,.07794998647442083,265.0342117306588,N
Velleda,23.31871307444494,2.924916657456225,328.4890524777343,2.438579153233507,.1061318948375976,250.3599111239535,N
Johanna,31.17010714134431,8.241745489846913,94.97774437740688,2.756613676823443,.06681486183310981,24.37578257032937,N
Nemesis,76.26413036350419,6.243400463279179,303.8135898406356,2.750730383756619,.1263372522238145,172.500398364028,N
Antigone,135.7053410722237,12.26311247055427,111.059675569711,2.870157879313409,.2113484908005157,56.84299379051186,N
Elektra,145.4102874111636,22.86533375193414,235.9044825139548,3.12548812489992,.2082861793180037,93.60769457787983,N
Vala,65.6884853312219,4.960456294106872,160.8548790907506,2.43136051125643,.06823245355852896,237.0640382067922,N
Aethra,258.4160356052303,24.9957069015721,255.2215100382852,2.607512405521715,.390391812019161,351.4448423129986,N
Cyrene,319.0990467167263,7.222065093859428,289.6702167178371,3.065464473063266,.1369820825757494,279.45001618192,N
Sophrosyne,345.9865688477021,11.60181188126506,84.76016206724906,2.562619797409635,.1171097690181707,181.7880752421453,N
Hertha,343.6566581327949,2.305795509707933,340.2911876384517,2.428004527603239,.2078029862662062,25.26461621471537,N
Austria,186.4617391271776,9.578151870185902,132.7256349198938,2.287260210785924,.08459036238841393,235.0313726795071,N
Meliboea,202.3052269460765,13.41220953270927,107.1392252354182,3.121234378794484,.2157125419575637,185.3391871160679,N
