pdes,a,e,M,per
"1997 B1",8.587964450249036,.7607636982815168,359.8688567841036,25.1677017837158
"1997 BA6",3080.608741565161,.9988844857936943,.0008959091555416171,170986.970404349
"1997 G2",528.7503296505272,.9941655524052918,359.9784936039377,12158.6170198147
"1997 J1",255.5321550962601,.9909908326610778,.02296982245584475,4084.85400134517
"1997 L1",2417.186668641538,.9979730340618299,.002248649456326858,118842.967558723
"1997 O1",87.01353759761383,.9842344912389598,.0881318622029405,811.686720146522
"1997 T1",920.1050937254577,.9985228756797022,359.9993239158037,27910.2903666417
"1998 G1",12.09962949871212,.8236845951680475,355.0910223414236,42.0887773839213
"1998 H1",717.3015843930482,.997926548903626,.001465965805417461,19211.4828499592
"1998 K1",62.29910808045978,.945157929738068,359.823536574761,491.734801662912
"1998 K2",3208.43869871393,.999275822402391,.0001668718763315039,181739.287547845
"1998 K3",1694.096100666741,.9979066701412876,.001269555317512825,69729.2937530699
"1998 K5",72.41015748127522,.9866932066450121,.01528202430208853,616.17977641853
"1998 M1",431.1748078678133,.9927683047551468,359.9955843614352,8953.40582755486
"1998 M2",1215.401116118736,.9977576681330754,8.903867081366893E-5,42372.8473516762
"1998 M4",1055.613845271702,.9975368839672811,.00588730584045442,34297.7648825236
"1998 M5",438.2924187400267,.9960248231687634,359.9934941044826,9176.01553557882
"1998 M6",5407.205203210156,.9988943175213462,359.9998354624396,397619.320941016
"1998 P1",1698.351623480861,.9993251643309481,.0008190790911675035,69992.1957834868
"1998 Q1",357.9316098787016,.9955916833554048,.01011424926733787,6771.86486335478
"1998 T1",1656.596698946272,.9991140102570968,359.9992508599515,67426.9305161814
"1998 U5",102.8788076522125,.9879814609898551,359.9803915684892,1043.51113001343
"1998 VS24",4.504092930811121,.2439303342233866,2.958441263754514,9.55914866933349
"1998 Y1",22.9560080252012,.9238983801871171,.4697241864410889,109.989886555903
"1999 A1",176.9165615545454,.9958695736818292,359.9959549436718,2353.21136619962
"1999 E1",16.34051805999441,.7601040303666825,3.330731582049144,66.0551881909909
"1999 F1",6698.26657362239,.9991360417888824,359.9995134183558,548216.17262341
"1999 F2",2635.467971800282,.9982097779537576,.002930753068643223,135299.071529978
"1999 G1",28.23306328073737,.8566083742363325,1.66466713351952,150.018633285627
"1999 H1",2775.377148257053,.9997448609025067,.0002482546683366265,146214.759555043
"1999 J3",1596.088115980117,.9993879982200613,359.9997964820254,63766.6347928384
"1999 J6",3.100499137810655,.9841773127951194,47.37538001293329,5.4595346244136
