# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Apr  5 05:27:31 2016
#
# COLUMN mpl_hostname:   Host Name
# COLUMN mpl_letter:     Planet Letter
# COLUMN mpl_discmethod: Discovery Method
# COLUMN mpl_pnum:       Number of Planets in System
# COLUMN mpl_orbper:     Orbital Period [days]
# COLUMN mpl_orbsmax:    Orbit Semi-Major Axis [AU]
# COLUMN mpl_orbeccen:   Eccentricity
# COLUMN mpl_dens:       Planet Density [g/cm**3]
# COLUMN mpl_orbincl:    Inclination [deg]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN mst_teff:       Effective Temperature [K]
# COLUMN mst_mass:       Stellar Mass [Solar mass]
# COLUMN mst_rad:        Stellar Radius [Solar radii]
# COLUMN hd_name:        HD Name
# COLUMN mpl_name:       Planet Name
# COLUMN mpl_eqt:        Equilibrium Temperature [K]
# COLUMN mpl_masse:      Planet Mass [Earth mass]
# COLUMN mpl_rade:       Planet Radius [Earth radii]
# COLUMN mpl_status:     Status
# COLUMN mpl_mnum:       Number of Moons in System
# COLUMN rowupdate:      Date of Last Update
# COLUMN mst_lum:        Stellar Luminosity [log(Solar)]
#
rowid,mpl_hostname,mpl_letter,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_dens,mpl_orbincl,ra,dec,mst_teff,mst_mass,mst_rad,hd_name,mpl_name,mpl_eqt,mpl_masse,mpl_rade,mpl_status,mpl_mnum,rowupdate,mst_lum
60,HAT-P-2,b,Transit,1,5.63341000,0.067700,0.516300,12.50000,90.000,245.151489,41.048084,,1.2980,1.42,,HAT-P-2 b,,2739.69460,10.660,3,0,2016-02-04,
61,HAT-P-2,b,Transit,1,5.63341000,0.067700,0.520000,11.90000,87.300,245.151489,41.048084,6290.00,1.2980,1.47,,HAT-P-2 b,,2873.18320,11.007,3,0,2016-02-04,0.485
62,HAT-P-2,b,Transit,1,5.60000000,0.068000,0.500000,7.30000,,245.151489,41.048084,6300.00,,,,HAT-P-2 b,1700,2828.60000,12.300,3,0,2015-02-12,
63,HAT-P-2,b,Transit,1,5.63347290,0.068780,0.517100,7.29000,86.720,245.151489,41.048084,6290.00,1.3600,1.64,,HAT-P-2 b,1540,2888.95000,12.969,3,0,2014-05-14,0.577
64,HAT-P-20,b,Transit,1,2.90000000,0.036000,0.000000,13.80000,,111.916469,24.336630,4600.00,,,,HAT-P-20 b,950,2320.10000,9.750,3,0,2015-02-12,
65,HAT-P-20,b,Transit,1,2.87531700,0.036100,0.015000,13.78000,86.800,111.916469,24.336630,4595.00,0.7560,0.69,,HAT-P-20 b,970,2302.89900,9.718,3,0,2014-05-14,-0.721
66,HAT-P-21,b,Transit,1,4.12448100,0.049400,0.228000,4.68000,87.200,171.274955,41.027954,5588.00,0.9470,1.10,,HAT-P-21 b,1283,1291.28900,11.478,3,0,2014-05-14,0.025
67,HAT-P-22,b,Transit,1,3.21223120,0.041400,0.016000,2.14000,86.900,155.681719,50.128345,,,,,HAT-P-22 b,1463,682.69884,12.106,3,0,2016-03-31,
68,HAT-P-22,b,Transit,1,3.21222000,0.041400,0.016000,2.11000,86.900,155.681719,50.128345,5302.00,0.9160,1.04,,HAT-P-22 b,1283,682.35200,12.106,3,0,2014-05-14,-0.114
69,HAT-P-23,b,Transit,1,1.21288400,0.023200,0.106000,1.01000,85.100,306.123854,16.762152,5905.00,1.1300,1.20,,HAT-P-23 b,2056,664.23700,15.334,3,0,2014-05-14,0.199
70,HAT-P-23,b,Transit,1,1.21288287,0.023020,0.000000,1.40600,85.740,306.123854,16.762152,5885.00,1.1040,1.09,,HAT-P-23 b,1951,658.00000,13.720,3,0,2015-03-26,
71,HAT-P-24,b,Transit,1,3.35524000,0.046500,0.067000,0.44000,88.600,108.825058,14.262599,6373.00,1.1910,1.32,,HAT-P-24 b,1637,217.70400,13.922,3,0,2014-05-14,0.408
72,HAT-P-25,b,Transit,1,3.65283600,0.046600,0.032000,0.42000,87.600,48.435419,25.197405,5500.00,1.0100,0.96,,HAT-P-25 b,1202,180.20200,13.339,3,0,2014-05-14,-0.125
73,HAT-P-26,b,Transit,1,4.23451600,0.047900,0.124000,0.40000,88.600,213.156383,4.059997,5079.00,0.8160,0.79,,HAT-P-26 b,1001,18.75100,6.333,3,0,2014-05-14,-0.420
74,HAT-P-27,b,Transit,1,3.03958600,0.040300,0.078000,,84.700,222.767436,5.947368,5300.00,0.9450,0.90,,HAT-P-27 b,,209.75900,11.635,3,0,2014-05-16,-0.244
75,HAT-P-27,b,Transit,1,3.03957700,0.040000,0.000000,,85.000,222.767436,5.947368,,,,,HAT-P-27 b,,197.05000,11.430,3,0,2014-05-14,
76,HAT-P-28,b,Transit,1,3.25721500,0.043400,0.051000,0.44000,88.000,13.000766,34.728413,5680.00,1.0250,1.10,,HAT-P-28 b,1384,198.95300,13.585,3,0,2014-05-14,0.053
