name,a,e,M,w,per
Leda,2.738482386025726,.15553737884468,103.8137684447472,169.4981457262895,4.53182499162058
Laetitia,2.768164817157168,.1136641225955456,45.78671473754641,208.2353682607838,4.60570501652478
Harmonia,2.267393624462482,.04652372815597618,121.9430185729142,268.8991696490414,3.41427567521688
Daphne,2.759558463245825,.2756317747520636,236.3259384542569,45.97060799448724,4.58424269148482
Isis,2.442861475095823,.2221441882980652,253.5777211170876,237.2520310973127,3.81818056867809
Ariadne,2.202863115724696,.168805856406611,136.2351550811172,16.2792001419672,3.26956118642915
Nysa,2.422867337510738,.1485711494762311,129.2419779558293,343.268683047504,3.77140050761928
Eugenia,2.720623671018917,.0835491829231442,134.2268119358968,88.6750834170893,4.48756663922478
Hestia,2.526853503148246,.1714420395299693,136.0552457399989,176.810825760606,4.01678233337111
Aglaja,2.880938208641669,.1321454956790165,171.3762407101571,313.9981645102872,4.89000290907778
Doris,3.110547402710373,.07316161906050961,213.3441660766267,253.5846966548285,5.48609644773456
Pales,3.092656674699919,.2271873367488734,25.35756405130856,110.2161769001946,5.43883354829595
Virginia,2.649132642940824,.285811692133868,244.0377161194269,200.2152592538233,4.31185113340283
Nemausa,2.365639030568849,.06692148063354778,131.2762852073049,2.299371317331398,3.63857153570074
Europa,3.096338950130998,.10827495119462,19.1427680206231,344.3746024211765,5.44855006977762
Kalypso,2.616386172489107,.2062499894970235,144.878218133159,313.3703894975432,4.23214920214454
Alexandra,2.709748818969456,.1982673215708073,112.9972754135774,345.1897813185626,4.46068705428166
Pandora,2.760959382308245,.1421669356552491,104.6346317933785,4.13939545033464,4.58773399347661
Melete,2.596411744984782,.2372597209085607,323.8374928745845,105.03806696,4.18377720895888
Mnemosyne,3.152718888255293,.114237504868435,291.4549695250047,211.0212176973668,5.59804100455027
Concordia,2.699571932996302,.04325515708781669,32.77462954880148,29.93355334884104,4.43558145023663
Elpis,2.712172510714734,.1192903405399018,254.0152202618389,211.4741648028604,4.4666730782231
Echo,2.393191431815608,.1834052221548858,249.2119858429911,270.9632623255658,3.70232347904114
Danae,2.982636098571524,.1672115823029728,42.12568900181088,12.80773072339557,5.15120231113933
Erato,3.127080236190185,.1709817604037744,28.8495490811081,274.0768110259388,5.52989314392354
Ausonia,2.394486257570528,.1277394425947036,180.4627627536999,295.9624215743156,3.70532857430615
Angelina,2.681028024064468,.1263662311062046,129.4336445344061,178.7380468587171,4.38995665941989
Cybele,3.428985522698463,.1109464713802534,74.97727358575561,102.349919933357,6.34975077174226
Maja,2.648227375451733,.1713058537204728,104.1170195862882,44.15628861093877,4.30964113921521
Asia,2.421404122494518,.1848598277797836,324.4890899513525,107.1628211228112,3.76798459425671
Leto,2.781449623468918,.1871691071406844,6.192563865631161,304.8626982269712,4.63889988807797
Hesperia,2.976223886319987,.170768998654402,70.29199432617891,289.5145892523457,5.1345997945612
Panopaea,2.614540513438438,.1820290654347702,150.9004529601586,255.3867380471751,4.22767180874657
Niobe,2.75578687500948,.1733307182775425,5.888383109173051,266.7156894419389,4.57484772829572
Feronia,2.2662830489533,.1210366640003961,19.89159613598162,103.0885419634132,3.41176750026358
Klytia,2.66456098630275,.04374056198548109,244.1997940414143,52.93349552532345,4.34957375454927
Galatea,2.778009467593675,.2398278299401522,19.92129469151877,174.1393585184698,4.63029631509523
Eurydike,2.671894518028227,.3055779110036714,51.0456093799679,339.4062350718253,4.36754276042655
Freia,3.412478188200812,.1658926960762952,95.96257357738138,252.7903633298515,6.30395389892943
Frigga,2.668997277847924,.1304458203802601,13.17891787571525,60.8736833564685,4.36044083925571
Diana,2.619494655800448,.2078962042793539,38.93459407693609,152.9826069654141,4.23969365716766
Eurynome,2.444740734938187,.1913106975085629,279.818933428011,200.8254686597747,3.82258732687037
Sappho,2.296174139397264,.1998574357648315,117.8124512658739,139.2266479766563,3.47948873168103
Terpsichore,2.857732574411058,.2083461011930901,101.7235165695788,51.83239005332251,4.83103940761674
Alkmene,2.764830606214204,.2186710980275762,278.2020608002603,111.3603411950148,4.59738627395433
Beatrix,2.431655144217837,.08204117032869843,277.4744089064004,168.9455948171394,3.79193756224756
Klio,2.362734461327318,.2361581351213544,142.1250088772582,14.74069577456792,3.63187234905784
Io,2.652403087027575,.1938604179471868,306.7697590397394,123.1652977017736,4.31983828691411
Semele,3.112890402129213,.2119363246131271,135.9629060361831,308.809591541693,5.49229616406421
Sylvia,3.479434329710219,.09211253897064714,270.6230216252966,263.6630486224261,6.49039559802491
Thisbe,2.767700555084209,.16393187265612,152.7149039756805,35.90601548260261,4.60454639810268
Julia,2.550954194225573,.1839816084684352,207.0217836376032,45.39104285892356,4.07438620536158
Antiope,3.14868452281926,.1652257618335077,293.6196774113584,244.8748199826954,5.5872991731314
Aegina,2.590195691769329,.1064833199631084,244.5576027543652,72.74761171262894,4.16876167258029
Undina,3.187581780346731,.1038751241766728,331.4358259498386,239.5546980994968,5.69115227550395
Minerva,2.755361050198904,.1405732818246427,218.8080467678079,274.7030085447347,4.57378740950159
Aurora,3.16285079722399,.0912967827426492,97.3653712329191,61.17964003460433,5.62504835387482
Arethusa,3.064202218457333,.1524848344805271,213.3760783578145,154.2476721787562,5.36394524900763
Aegle,3.051315783542861,.1392758487685261,242.1268276056042,208.7810387542434,5.33014391876142
Klotho,2.670849557327521,.2545994899366864,39.97294497436964,268.6220587546577,4.36498083427953
Ianthe,2.688671098853618,.1858697570775444,217.3569789569045,158.6435923069595,4.40874236501976
Dike,2.665585278220609,.1950621765001437,332.9166964337716,195.3805259541522,4.35208204469583
Hekate,3.08980607230814,.1683974092476187,28.31771694720318,184.7725166075508,5.43131555630156
Helena,2.585514767672155,.1397954078956503,189.178757586325,347.7595980327134,4.15746628768956
Miriam,2.66104486415848,.2529919080622454,338.4886812051359,147.2653708170108,4.34096712878116
Hera,2.701366409288659,.08121852890033664,88.84472070082779,188.4472038361571,4.44000485617065
Klymene,3.152831703762783,.1568376501267921,66.32308881275586,32.16660613338856,5.59834148399784
Artemis,2.373080089129501,.1777828069585818,202.9417229878928,57.10604894128024,3.65575258266402
Dione,3.175034653042702,.1666755656966882,16.65497269214038,329.7431501989263,5.65758264439133
Camilla,3.488507310794644,.06636795166129213,144.8568316627836,306.8967630503477,6.51579869642999
Hecuba,3.238963945686795,.05551903584241192,132.9848886753846,204.497557353979,5.82931297074713
Felicitas,2.697100397939427,.2968216403421005,346.1861840931984,56.3855772656891,4.42949149276784
Lydia,2.73208790650215,.08091310791128661,304.6160030022236,283.582145128404,4.51596123855133
Ate,2.593108017685789,.103483482412668,143.4133786383259,166.4155666342231,4.17579446438585
Iphigenia,2.433264880947628,.1284928870638656,118.15329979404,16.58928513552084,3.79570353494997
