rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate
1287,Kepler-1414,b,Transit,1,3.51576315,,,,,,0.110,,0,1,0,1,18h59m42.86s,284.928580,+42d25m20.3s,42.422310,534.00,14.897,Kepler-band,4951.00,0.80,0.75,2016-05-10
1288,Kepler-1415,b,Transit,1,0.63642408,,,,,,0.115,,0,1,0,1,19h00m37.66s,285.156913,+47d52m24.0s,47.873333,1066.00,15.744,Kepler-band,5267.00,0.89,0.84,2016-05-10
1289,Kepler-1416,b,Transit,1,1.49514952,,,,,,0.079,,0,1,0,1,19h54m39.23s,298.663468,+43d53m38.7s,43.894073,807.00,14.220,Kepler-band,6019.00,1.09,1.15,2016-05-10
1290,Kepler-1417,b,Transit,1,20.35052130,,,,,,0.089,,0,1,0,1,19h23m47.97s,290.949888,+40d36m18.8s,40.605215,656.00,13.914,Kepler-band,5839.00,1.02,1.02,2016-05-10
1291,Kepler-1418,b,Transit,1,22.47644250,,,,,,0.148,,0,1,0,1,18h51m59.39s,282.997478,+41d40m42.8s,41.678551,499.00,15.037,Kepler-band,4770.00,0.77,0.72,2016-05-10
1292,Kepler-1419,b,Transit,1,42.52158950,,,,,,0.255,,0,1,0,1,19h29m01.11s,292.254635,+37d58m17.1s,37.971420,1444.00,15.761,Kepler-band,5796.00,1.01,1.01,2016-05-10
1293,Kepler-142,b,Transit,3,2.02415200,0.032000,,,,,0.178,,0,1,0,1,19h40m28.54s,295.118899,+48d28m52.6s,48.481281,,13.203,Kepler-band,5790.00,0.99,1.27,2014-05-14
1294,Kepler-142,c,Transit,3,4.76170200,0.057000,,,,,0.255,,0,1,0,1,19h40m28.54s,295.118899,+48d28m52.6s,48.481281,,13.203,Kepler-band,5790.00,0.99,1.27,2014-05-14
1295,Kepler-142,d,Transit,3,41.80911800,0.242000,,,,,0.193,,0,1,0,1,19h40m28.54s,295.118899,+48d28m52.6s,48.481281,,13.203,Kepler-band,5790.00,0.99,1.27,2014-05-14
1296,Kepler-1420,b,Transit,1,6.69960006,,,,,,0.114,,0,1,0,1,19h44m48.91s,296.203810,+42d46m40.2s,42.777832,923.00,15.883,Kepler-band,5187.00,0.82,0.79,2016-05-10
1297,Kepler-1421,b,Transit,1,6.91311120,,,,,,0.083,,0,1,0,1,19h06m19.34s,286.580592,+48d32m39.1s,48.544197,675.00,12.788,Kepler-band,6335.00,1.25,1.42,2016-05-10
1298,Kepler-1422,b,Transit,1,18.60519420,,,,,,0.180,,0,1,0,1,19h35m33.64s,293.890178,+48d20m10.0s,48.336121,2081.00,15.665,Kepler-band,6194.00,1.15,1.23,2016-05-10
1299,Kepler-1423,b,Transit,1,23.95537800,,,,,,0.095,,0,1,0,1,19h12m58.51s,288.243782,+41d06m36.3s,41.110081,449.00,14.553,Kepler-band,4939.00,0.79,0.75,2016-05-10
1300,Kepler-1424,b,Transit,1,29.60917440,,,,,,0.103,,0,1,0,1,19h23m58.00s,290.991665,+40d13m45.6s,40.229320,620.00,13.619,Kepler-band,5838.00,1.02,1.07,2016-05-10
1301,Kepler-1425,b,Transit,1,14.45413020,,,,,,0.084,,0,1,0,1,19h39m48.25s,294.951036,+43d00m44.8s,43.012436,499.00,13.572,Kepler-band,5718.00,0.97,0.95,2016-05-10
1302,Kepler-1426,b,Transit,1,14.25632270,,,,,,0.139,,0,1,0,1,19h30m10.98s,292.545764,+49d25m01.1s,49.416973,1211.00,15.192,Kepler-band,5831.00,1.02,1.02,2016-05-10
1303,Kepler-1427,b,Transit,1,0.96897238,,,,,,0.098,,0,1,0,1,19h41m23.92s,295.349667,+45d06m52.4s,45.114548,1220.00,15.415,Kepler-band,5793.00,1.01,1.01,2016-05-10
1304,Kepler-1428,b,Transit,1,10.67607169,,,,,,0.146,,0,1,0,1,19h50m34.14s,297.642262,+49d35m41.9s,49.594978,802.00,13.688,Kepler-band,6184.00,1.28,1.36,2016-05-10
1305,Kepler-1429,b,Transit,1,4.48487493,,,,,,0.115,,0,1,0,1,19h01m27.90s,285.366245,+49d02m41.5s,49.044868,1156.00,14.879,Kepler-band,5902.00,1.05,1.07,2016-05-10
1306,Kepler-143,b,Transit,2,16.00758300,0.127000,,,,,0.215,,0,1,0,1,19h52m16.25s,298.067706,+49d24m45.4s,49.412605,,13.770,Kepler-band,5848.00,,1.36,2014-05-14
