pdes,a,e,M,w,per
8060,5.189870356805237,.09129515468672937,200.2249010784032,33.91558491336281,11.8234158895697
8125,5.178757772884961,.04624081847215047,225.5338765242027,58.16758325043435,11.7854616629999
8241,5.14134810058804,.04275590094309415,313.5535136076848,262.7579039293878,11.6579910113696
8317,5.294089111513363,.04508667763737007,277.9969727957441,113.8465550893087,12.1813402202038
9023,5.231206745731342,.06340295887629854,125.2385254172457,159.1925069698577,11.964953877694
9030,5.247174036486371,.02394038748996442,44.94163559180331,1.371055178868136,12.0197768709078
9142,5.175104961316666,.1287815829212124,131.794473941094,173.5307497589823,11.7729946350737
9430,5.273018692632621,.05274311322814591,173.9196801316639,310.0602699579577,12.1086902182933
9431,5.124107866976672,.08417676836243036,188.2423075368407,184.5618548080708,11.5994019310258
9590,5.103726977245776,.04165332011990022,354.0594889385744,191.8812106908831,11.5302667054525
9694,5.111241096025663,.03399819521726412,156.1040886687192,55.26946203980425,11.5557397594613
9712,5.232027668919812,.1267227419369882,129.8283128593909,274.2139769223649,11.9677704439005
9713,5.177171547599547,.05364506669772286,104.2509773113764,314.4094635368066,11.780047343619
9790,5.252570435670492,.05415445729749558,194.1257371423205,150.401967925022,12.0383240511142
9799,5.192477928149701,.04681276436613294,204.1823618814862,113.5412799900674,11.8323277516943
9807,5.211912501770096,.1534410017624339,152.9506786236045,196.9294518876383,11.8988194977879
9817,5.273705301699458,.03971953893449836,100.5234469211024,83.09155527463938,12.1110553361546
9818,5.216447086026426,.003506971960179935,39.06563680033758,148.9892941757842,11.9143515890944
9828,5.179381180962757,.08526135212618523,113.0861711796756,20.59836778245571,11.7875897910456
9857,5.147014410545792,.02595192942432294,303.9025915484576,2.036485191363217,11.6772688310943
9907,5.294519747312137,.06583108744758542,154.4564744943904,262.5847209506585,12.1828265461059
10247,5.25665933179562,.008904054943956352,119.8087302519811,340.9312806877219,12.0523837487906
10664,5.179606451762682,.03160175722227193,128.7583655972328,235.8458079493681,11.7883588294389
10989,5.168967102473967,.085934251253189,192.2024237837674,206.5683599391726,11.7520560600579
11089,5.198987169847005,.02285886982217148,294.1310859869325,18.98833488527254,11.8545840659997
11251,5.159373960983208,.002628692453992679,7.758733784148938,118.2864510252362,11.7193550939684
11252,5.145115693225208,.02925364721597492,170.278082872165,326.3836292963413,11.670807865791
11273,5.212204455025416,.09494869728985639,204.302066399499,55.09674256650268,11.899819307666
11275,5.192839493049884,.08984833863743918,123.6110013460735,218.3536389445391,11.8335636439606
11351,5.282770428857165,.06380493163474335,192.5142465381372,161.4703566178829,12.1422958254532
11395,5.214494981298535,.06667907855978489,250.830198920564,117.3800050286007,11.9076643116334
11396,5.213604419360443,.06324009146952174,211.1022288492715,176.6504906829976,11.904613951093
11397,5.242646104681685,.0612055918899258,200.0241584350302,152.7025438341211,12.0042219302598
11428,5.323673984501875,.01300659867501267,163.4868754917997,61.30675955215781,12.2835919226828
11429,5.26180273684861,.02758487298230718,103.1588435564953,93.47917978508443,12.0700771493234
11487,5.145133652944683,.04804823372828514,109.4890492066159,8.946951322605384,11.670868973635
11488,5.156504493228018,.03800095499526086,94.12813604619636,237.0438277244328,11.7095795953388
11509,5.180316943095035,.1426721024321737,115.1682014885347,128.8747201811917,11.7907844424836
11552,5.265778773088277,.1520990418227161,154.3435698693111,182.8703341220218,12.0837607093397
11554,5.26264001374062,.06143959157688521,216.5491749999298,126.7786264490949,12.0729582147687
11663,5.142566994680769,.1260851059052701,138.3501181908907,89.11569980538151,11.6621370149874
11668,5.17963654920118,.1409803433145724,177.2194385679224,13.98606628014903,11.7884615785349
11869,5.244528063481717,.04135293007779041,140.9260194154112,159.163148827873,12.0106862646665
11887,5.183346566490582,.09182145619075344,104.0407393600395,112.5856771694317,11.801129424968
12052,5.245856525145356,.06692197837403288,130.8755102701983,86.35198970641441,12.0152500918884
12054,5.14048097682816,.06419064323336503,155.0018989096371,41.46012955479392,11.6550418350387
12126,5.23187844840656,.2073050979626909,153.650703891584,304.0151863954167,11.9672584557495
12238,5.174639535139637,.1230495771025903,178.1885971498642,177.5972147773642,11.7714064537543
12242,5.101322995692685,.06667643229606918,147.7872211417936,94.88127127589921,11.5221211039247
12444,5.248823200182226,.07064628666422484,174.5898942514942,64.81698294561505,12.0254439605542
12649,5.154559438626239,.1471374630256197,144.8734736341481,342.5331281650568,11.7029548681249
12658,5.158155972597597,.05717530823730931,166.5565552038647,327.4375948964739,11.7152054056426
12714,5.227703745435347,.03644203811350766,130.8648251493391,164.6061662243863,11.9529376580385
12916,5.165844142912729,.01689020741268697,120.1656890102401,220.0963975200339,11.7414072250778
12917,5.201453065004738,.08930296824280474,132.0412020213958,228.4823914636655,11.8630190629832
12921,5.244452650215839,.09241104169382891,147.3290287075384,273.6141016619652,12.0104272055644
12929,5.229896338724757,.04057098457931334,145.3920148485113,132.4911689014695,11.9604583631134
12972,5.149649658673882,.1503618706677807,201.5425246069873,339.1096681243656,11.6862380422377
12973,5.125460916842571,.05667954456039216,179.9364886143339,36.4784565162439,11.6039965665163
12974,5.181653104412872,.05071708914968471,205.5063016217648,3.026695108647871,11.795346539579
13060,5.169445433421682,.1224419982442666,193.1634299935339,95.75250491443643,11.7536873827327
13062,5.156259455770209,.009471924189845226,233.672015614037,286.766124825192,11.7087449451802
13181,5.21587831783858,.136312049839525,110.2987223422011,104.1290638654169,11.9124030446165
13182,5.23820692600914,.1121779962496427,204.76009397459,64.44490177585469,11.9889784054804
13183,5.21245873653316,.08945004268000445,268.294126560202,314.1285364009174,11.9006901314009
13184,5.162553676391933,.0480617889572443,273.0570733909458,97.02346985541166,11.7301906978042
13185,5.19012649213952,.05394756577482296,170.1013137715092,53.81466922087613,11.8242911807826
13229,5.246310156414921,.07618361459168864,90.41971443134882,167.2459999527688,12.0168086393698
13230,5.068190455819926,.06142152254811062,142.462754433907,38.70975792878011,11.4100511771305
13323,5.105848775201016,.08800850779376046,126.7471133926321,254.9394682460487,11.537457755928
13331,5.076584750407437,.1080637584552596,144.0856909116812,149.4017851947349,11.4384101091364
13353,5.167690078824504,.1336859412198608,108.3434051130331,75.70642229713195,11.7477012074585
13362,5.185426260990154,.02861641693340222,31.80723820156893,122.2367445093367,11.8082325209907
13366,5.227645200335052,.1036368989204249,126.9610780370093,355.7119599112611,11.9527368670195
13372,5.23388496728698,.04669528436543106,187.5084728092907,304.5382099452331,11.9741436020034
13379,5.151476936067509,.06453365384343974,161.838354791778,337.1000886209556,11.6924586283501
13383,5.147919683523202,.06390923718650064,183.1310963947506,161.798740754093,11.6803497183483
13385,5.22731815280292,.04516074088974899,263.4275546353476,165.2927449788843,11.9516152189912
13387,5.217315324185241,.09516371440774002,199.9084810311653,19.11438601128435,11.9173262934129
13402,5.254617324198162,.1192314771091549,181.2099754430648,127.3850069168015,12.0453616077221
13463,5.177864251738509,.00637823873591544,175.2348000758343,96.08482019976938,11.7824116733767
13475,5.176005458797082,.07388378538988209,103.5552511655376,123.4973313646292,11.7760676200433
13650,5.209752373816744,.09760619648137793,153.8511960615295,244.8825540677803,11.8914228916847
13694,5.245267439094106,.0688007088642146,201.6025011937986,165.5355967972397,12.0132262610365
13780,5.180669229881818,.09381523950658537,129.6709814475565,50.83291182350374,11.7919872090986
13782,5.180757815839782,.1328787194813897,204.1389885805253,232.5013019787628,11.7922896629619
13790,5.266219648514277,.1125552662928314,105.5066024287833,55.43126635703582,12.0852783038555
13862,5.288129798690036,.0842026576720893,163.0928641940363,277.9009402437384,12.1607780470528
14235,5.127009236090139,.08407963489380707,170.3322050906055,26.18331651428817,11.6092550344818
14268,5.249162745668501,.08859034823368543,154.6189520525922,125.0432228340199,12.0266108653334
14518,5.273486566507396,.1443252585896479,148.3842781722023,253.6631085560584,12.1103018564678
14690,5.202217146771655,.03031118671134105,222.2794700936585,5.591285754038653,11.8656331352416
14707,5.219510475341202,.04113225298440203,169.7324376674576,289.5117053245353,11.9248482896315
14791,5.147211896583304,.1601363326837773,206.6849980900782,185.4747754688776,11.6779409060547
14792,5.168489339638125,.08220347160470118,194.494390891111,245.4514243072615,11.7504267502432
15033,5.181927990153842,.2022092631555631,162.148972310056,164.676233200751,11.796285163463
15094,5.162336884124256,.09473385941595029,185.7885555564249,5.055237334871162,11.7294518227909
15398,5.126777665328254,.02656852000841203,73.15355537769717,319.0115227722489,11.6084685134655
15436,5.20967718566625,.04359469501875975,148.7590955032516,179.8514895272566,11.8911654636525
15440,5.298283362526678,.02167132565135324,174.0612370188563,281.7330765065853,12.1958191179427
15442,5.191952278904112,.167243208322807,152.6398087024239,320.0955707177707,11.8305310670965
15502,5.128014801162837,.01700482622705807,320.9957990815957,178.9127552964552,11.6126706028652
15521,5.23128253679687,.07141006201410943,50.5356908188799,171.1293219666771,11.9652139056184
15527,5.219073217490046,.1530389173527899,239.1913600065081,167.5407346275444,11.9233498375187
15529,5.254750753733362,.02670031699515703,332.6053250620278,84.65436206156245,12.045820409126
15535,5.172775368363383,.0846395188253893,134.5515838928135,303.070572567685,11.7650460430733
15536,5.202083505181098,.1434677229691086,138.8247207797296,259.1356350773036,11.8651759075281
15539,5.308564482927538,.03990326966738419,117.8376605419297,330.6249568513401,12.231334628403
15651,5.286437043793835,.04040500564600468,169.7295148390152,32.15002263328725,12.1549394321018
15663,5.190081321415869,.1037835584352649,194.711491175567,24.25823808393472,11.8241368173115
15913,5.197207275071578,.05895860313867411,158.72878722375,9.795678366311758,11.8484968881876
