id,name,epoch_mjd,a,e,i,om,w,ad,ma
a0090482,Orcus,57400,39.46947937364201,.2179854586523902,20.56394602936189,268.5701672994348,72.97727615461095,48.07325193767642,174.673251180542
a0090568,,57400,42.17284541351641,.08168120909355689,21.97178185368449,250.6141962406119,293.1995870170053,45.61757441780809,34.60304774561801
a0119951,,57400,38.86733481195079,.04176187842339895,.4034803452350844,286.6858642506892,71.68629678751529,40.49050772300902,261.3026557208832
a0119979,,57400,48.01033994132648,.264978789091877,9.174640945130445,109.7546942120542,44.35620874225874,60.73206168286854,316.0154390230771
a0120132,,57400,49.80853293006006,.2558387685959561,11.7565575204926,341.6775833148326,175.2624241403443,62.55148666045775,28.2572668892611
a0120178,,57400,43.0502807892678,.1061519108678621,27.21896782708165,182.9298728421267,67.08223052394814,47.62015035844659,71.8413603648207
a0120347,Salacia,57400,41.86036827176744,.109046771383179,23.9363696905823,280.1358419248267,307.9003141233176,46.42510628071455,121.8481006608848
a0134340,Pluto,54000,39.4450697257358,0.250248713478499,17.089000919562,110.3769579554089,112.5971416774872,49.31614767767086,25.24718971218841
a0136108,Haumea,57400,43.30719788218243,.1894695790051423,28.19501855697553,121.8374115122434,239.645164350243,51.51259443281193,211.0822584010448
a0136199,Eris,57400,67.68871443909084,.4420761525540771,44.14253230297486,35.90645025820537,151.1967689468194,97.61228088965572,204.515783427242
a0136472,Makemake,57400,45.76305786769124,.1542390798460264,28.99899083723247,79.45695455012483,296.8975816364631,52.8215098041444,158.0443666164352
a0144897,,57400,38.90147950517819,.0403403480356796,9.539719380290837,148.0775937463961,149.1201313181696,40.47077872751994,97.67572520905134
a0145451,,57400,90.40472081965049,.6114325324202348,28.75856456186719,84.6411689770684,318.5452081562662,145.6811082131537,4.642460269801939
a0145452,,57400,41.35876444127812,.01904695653227824,19.31309912979481,186.9250044643929,174.8793057108088,42.14652302981987,338.2798112158536
a0145453,,57400,43.1629781474663,.1363922285932606,28.50632606194154,85.85229312969987,279.6560502839931,49.05007292972143,43.5759376117547
a0145480,,57400,75.16730934439484,.3854045317949732,26.53763282213512,180.4279470881532,171.4700933263521,104.1371310085593,359.5196676262582
a0174567,Varda,57400,45.80546129594914,.1398571504298994,21.4946749614354,183.94339152361,182.9156712297293,52.21168258692762,266.9897193952681
a0175113,,57400,38.82816510706517,.07120747978364869,13.35659386228833,84.60133676427202,84.19957089824578,41.59302088896268,165.4090437074654
a0202421,,57400,43.20067111249364,.1501843152958593,25.73151767990818,307.8678936724876,221.8943860929184,49.68873432384511,223.9295010236227
a0208996,,57400,39.6401230201275,.1767454044677852,13.56874042238418,252.0574190135349,13.71240225389173,46.6463325964727,229.4584956091951
a0225088,,57400,66.92519423445731,.5066872454692257,30.94335049141043,336.814107714831,206.8083250606662,100.8353365536074,104.1549034015903
a0229762,,57400,73.61135284948463,.4907862512787735,23.34332884018403,131.2695549056823,346.5811700362068,109.7387927660423,342.7070831260411
a0230965,,57400,47.21575321550021,.2488792561782583,38.0771136827461,328.7517031555266,132.6318842670121,58.96677475567011,356.3760660743217
a0278361,,57400,48.10959990776481,.1604220162963102,12.06220990645522,272.5055307950735,6.752081956696387,55.82743892817722,338.0579755552344
a0303775,,57400,110.5097606043816,.6667537926030411,14.03222485611884,78.39516348296068,223.6878241523181,184.1925626070072,13.85422980406691
a0307261,,57400,41.71680392970748,.1443852258445459,17.67667361036198,215.9627693687511,215.5341211505932,47.74009408661094,216.1871764897651
a0307982,,57400,89.43279658251436,.5932380639553806,16.28365902880677,230.386361377779,75.51315796347107,142.4877356812405,5.454206187022309
a0308193,,57400,43.64588872509595,.1470578968051876,28.60638929273301,112.7858534355169,90.17907001801782,50.06436132520182,319.6426412260432
a0386723,,57400,44.29324590500249,.144500370721265,29.0799759708218,141.714481988409,99.07693933396065,50.6936363587235,180.8744010389691
a0444030,,57400,43.28071370971599,.1489197416310572,31.23040876186158,240.9628435191526,36.79701279913682,49.72606641297465,40.29222145898858
a0455502,,57400,39.14639933819137,.2225464714070931,12.04278638407668,136.1580298480492,144.700191111074,47.85829237919882,109.1429988614762
