id,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate
965,Kepler-190,c,Transit,2,3.763024,0.045,,,,,0.13,,0,1,0,,19h14m20.17s,288.584039,+44d44m01.7s,44.733799,,14.137,Kepler-band,5106,0.84,0.8,14/05/14
966,Kepler-191,b,Transit,2,9.939632,0.087,,,,,0.12,,0,1,0,,19h24m44.01s,291.183386,+45d19m23.4s,45.323177,,14.808,Kepler-band,5282,0.85,0.79,14/05/14
967,Kepler-191,c,Transit,2,17.738506,0.128,,,,,0.166,,0,1,0,,19h24m44.01s,291.183386,+45d19m23.4s,45.323177,,14.808,Kepler-band,5282,0.85,0.79,14/05/14
968,Kepler-192,b,Transit,2,9.926746,0.09,,,,,0.244,,0,1,0,,19h11m40.30s,287.917924,+45d35m34.4s,45.592876,,14.129,Kepler-band,5479,,1.01,14/05/14
969,Kepler-192,c,Transit,2,21.2234,0.15,,,,,0.249,,0,1,0,,19h11m40.30s,287.917924,+45d35m34.4s,45.592876,,14.129,Kepler-band,5479,,1.01,14/05/14
970,Kepler-193,b,Transit,2,11.38848,0.106,,,,,0.213,,0,1,0,,19h45m59.66s,296.498596,+46d34m38.1s,46.577244,,14.615,Kepler-band,6335,,1.15,14/05/14
971,Kepler-193,c,Transit,2,50.697494,0.286,,,,,0.245,,0,1,0,,19h45m59.66s,296.498596,+46d34m38.1s,46.577244,,14.615,Kepler-band,6335,,1.15,14/05/14
972,Kepler-194,b,Transit,3,2.092281,0.032,,,,,0.135,,0,1,0,,19h27m53.15s,291.971445,+47d51m51.0s,47.864174,,14.915,Kepler-band,6089,,1.02,14/05/14
973,Kepler-194,c,Transit,3,17.308032,0.131,,,,,0.231,,0,1,0,,19h27m53.15s,291.971445,+47d51m51.0s,47.864174,,14.915,Kepler-band,6089,,1.02,14/05/14
974,Kepler-194,d,Transit,3,52.814973,0.275,,,,,0.214,,0,1,0,,19h27m53.15s,291.971445,+47d51m51.0s,47.864174,,14.915,Kepler-band,6089,,1.02,14/05/14
975,Kepler-195,b,Transit,2,8.307872,0.077,,,,,0.181,,0,1,0,,19h12m29.03s,288.120962,+47d58m00.0s,47.966667,,14.813,Kepler-band,5329,,0.78,14/05/14
976,Kepler-195,c,Transit,2,34.096863,0.197,,,,,0.138,,0,1,0,,19h12m29.03s,288.120962,+47d58m00.0s,47.966667,,14.813,Kepler-band,5329,,0.78,14/05/14
977,Kepler-196,b,Transit,2,20.739886,0.138,,,,,0.17,,0,1,0,,18h59m52.44s,284.968519,+42d04m45.1s,42.079205,,14.157,Kepler-band,5128,,0.78,14/05/14
978,Kepler-196,c,Transit,2,47.427737,0.24,,,,,0.2,,0,1,0,,18h59m52.44s,284.968519,+42d04m45.1s,42.079205,,14.157,Kepler-band,5128,,0.78,14/05/14
979,Kepler-197,b,Transit,4,5.599308,0.06,,,,,0.091,,0,1,0,,19h40m54.34s,295.226435,+50d33m32.4s,50.559006,,11.811,Kepler-band,6004,,1.12,14/05/14
980,Kepler-197,c,Transit,4,10.349695,0.09,,,,,0.11,,0,1,0,,19h40m54.34s,295.226435,+50d33m32.4s,50.559006,,11.811,Kepler-band,6004,,1.12,14/05/14
981,Kepler-197,d,Transit,4,15.677563,0.119,,,,,0.109,,0,1,0,,19h40m54.34s,295.226435,+50d33m32.4s,50.559006,,11.811,Kepler-band,6004,,1.12,14/05/14
982,Kepler-197,e,Transit,4,25.209715,0.164,,,,,0.081,,0,1,0,,19h40m54.34s,295.226435,+50d33m32.4s,50.559006,,11.811,Kepler-band,6004,,1.12,14/05/14
983,Kepler-198,b,Transit,2,17.790037,0.131,,,,,0.252,,0,1,0,,19h22m41.55s,290.67313,+38d41m27.6s,38.691011,,13.597,Kepler-band,5574,0.93,0.94,14/05/14
984,Kepler-198,c,Transit,2,49.567416,0.259,,,,,0.22,,0,1,0,,19h22m41.55s,290.67313,+38d41m27.6s,38.691011,,13.597,Kepler-band,5574,0.93,0.94,14/05/14
985,Kepler-199,b,Transit,2,23.637604,0.158,,,,,0.277,,1,1,0,,19h42m14.26s,295.559419,+40d14m10.6s,40.236271,,13.595,Kepler-band,5644,,0.97,14/05/14
986,Kepler-199,c,Transit,2,67.093408,0.316,,,,,0.29,,1,1,0,,19h42m14.26s,295.559419,+40d14m10.6s,40.236271,,13.595,Kepler-band,5644,,0.97,14/05/14
987,Kepler-20,b,Transit,5,3.6961219,0.04537,0.32,86.5,0.027,Mass,0.17,6.5,0,1,0,,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,290,12.498,Kepler-band,5455,0.91,0.94,14/05/14
988,Kepler-20,c,Transit,5,10.854092,0.093,0.4,88.39,0.051,Mass,0.274,2.91,0,1,0,,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,290,12.498,Kepler-band,5455,0.91,0.94,14/05/14
989,Kepler-20,d,Transit,5,77.61184,0.3453,0.6,89.57,0.063,Mass,0.245,4.07,0,1,0,,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,290,12.498,Kepler-band,5455,0.91,0.94,14/05/14
990,Kepler-20,e,Transit,5,6.098493,,0.28,87.5,0.01,Mass,0.077,,0,1,0,,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,290,12.498,Kepler-band,5455,0.91,0.94,14/05/14
991,Kepler-20,f,Transit,5,19.57706,,0.32,88.68,0.045,Mass,0.092,,0,1,0,,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,290,12.498,Kepler-band,5455,0.91,0.94,14/05/14
992,Kepler-200,b,Transit,2,8.594805,0.08,,,,,0.19,,0,1,0,,18h57m38.38s,284.40992,+41d14m14.9s,41.237465,,13.984,Kepler-band,5678,,0.94,14/05/14
993,Kepler-200,c,Transit,2,10.222157,0.09,,,,,0.142,,0,1,0,,18h57m38.38s,284.40992,+41d14m14.9s,41.237465,,13.984,Kepler-band,5678,,0.94,14/05/14
994,Kepler-201,b,Transit,2,25.672083,0.175,,,,,0.219,,0,1,0,,19h34m30.25s,293.62604,+41d16m22.2s,41.272827,,13.004,Kepler-band,6065,1.17,1.23,14/05/14
995,Kepler-201,c,Transit,2,151.884058,0.573,,,,,0.254,,0,1,0,,19h34m30.25s,293.62604,+41d16m22.2s,41.272827,,13.004,Kepler-band,6065,1.17,1.23,14/05/14
996,Kepler-202,b,Transit,2,4.069427,0.045,,,,,0.145,,0,1,0,,18h51m53.62s,282.973419,+41d19m19.2s,41.322006,,13.872,Kepler-band,4668,,0.67,14/05/14
997,Kepler-202,c,Transit,2,16.282493,0.113,,,,,0.165,,0,1,0,,18h51m53.62s,282.973419,+41d19m19.2s,41.322006,,13.872,Kepler-band,4668,,0.67,14/05/14
998,Kepler-203,b,Transit,3,3.162697,0.043,,,,,0.229,,0,1,0,,19h48m21.59s,297.089977,+41d23m16.9s,41.388039,,13.989,Kepler-band,5821,0.98,1.11,14/05/14
999,Kepler-203,c,Transit,3,5.370647,0.061,,,,,0.22,,0,1,0,,19h48m21.59s,297.089977,+41d23m16.9s,41.388039,,13.989,Kepler-band,5821,0.98,1.11,14/05/14
1000,Kepler-203,d,Transit,3,11.32972,0.1,,,,,0.128,,0,1,0,,19h48m21.59s,297.089977,+41d23m16.9s,41.388039,,13.989,Kepler-band,5821,0.98,1.11,14/05/14
1001,Kepler-204,b,Transit,2,14.400974,0.117,,,,,0.226,,0,1,0,,19h01m23.32s,285.347187,+41d45m42.9s,41.761925,,13.909,Kepler-band,5812,0.96,1.24,14/05/14
1002,Kepler-204,c,Transit,2,25.660593,0.173,,,,,0.16,,0,1,0,,19h01m23.32s,285.347187,+41d45m42.9s,41.761925,,13.909,Kepler-band,5812,0.96,1.24,14/05/14
1003,Kepler-205,b,Transit,2,2.75564,0.032,,,,,0.135,,0,1,0,,19h01m08.91s,285.287111,+41d51m40.2s,41.861172,,13.506,Kepler-band,4321,,0.55,14/05/14
1004,Kepler-205,c,Transit,2,20.306546,0.122,,,,,0.146,,0,1,0,,19h01m08.91s,285.287111,+41d51m40.2s,41.861172,,13.506,Kepler-band,4321,,0.55,14/05/14
1005,Kepler-206,b,Transit,3,7.781987,0.078,,,,,0.107,,0,1,0,,19h26m32.32s,291.634678,+41d50m01.9s,41.833866,,13.484,Kepler-band,5764,0.94,1.19,14/05/14
1006,Kepler-206,c,Transit,3,13.137471,0.111,,,,,0.158,,0,1,0,,19h26m32.32s,291.634678,+41d50m01.9s,41.833866,,13.484,Kepler-band,5764,0.94,1.19,14/05/14
1007,Kepler-206,d,Transit,3,23.44281,0.163,,,,,0.106,,0,1,0,,19h26m32.32s,291.634678,+41d50m01.9s,41.833866,,13.484,Kepler-band,5764,0.94,1.19,14/05/14
1008,Kepler-207,b,Transit,3,1.611865,0.029,,,,,0.14,,0,1,0,,19h20m07.32s,290.030517,+42d09m57.8s,42.16605,,13.182,Kepler-band,5920,,1.59,14/05/14
1009,Kepler-207,c,Transit,3,3.071571,0.044,,,,,0.134,,0,1,0,,19h20m07.32s,290.030517,+42d09m57.8s,42.16605,,13.182,Kepler-band,5920,,1.59,14/05/14
1010,Kepler-207,d,Transit,3,5.868075,0.068,,,,,0.295,,0,1,0,,19h20m07.32s,290.030517,+42d09m57.8s,42.16605,,13.182,Kepler-band,5920,,1.59,14/05/14
1011,Kepler-208,b,Transit,4,4.22864,0.054,,,,,0.145,,0,1,0,,19h35m33.65s,293.890206,+42d31m40.8s,42.528008,,13.749,Kepler-band,6092,1.03,1.31,14/05/14
1012,Kepler-208,c,Transit,4,7.466623,0.079,,,,,0.124,,0,1,0,,19h35m33.65s,293.890206,+42d31m40.8s,42.528008,,13.749,Kepler-band,6092,1.03,1.31,14/05/14
1013,Kepler-208,d,Transit,4,11.131786,0.103,,,,,0.107,,0,1,0,,19h35m33.65s,293.890206,+42d31m40.8s,42.528008,,13.749,Kepler-band,6092,1.03,1.31,14/05/14
1014,Kepler-208,e,Transit,4,16.259458,0.132,,,,,0.132,,0,1,0,,19h35m33.65s,293.890206,+42d31m40.8s,42.528008,,13.749,Kepler-band,6092,1.03,1.31,14/05/14
1015,Kepler-209,b,Transit,2,16.087845,0.122,,,,,0.202,,0,1,0,,19h24m40.69s,291.169537,+42d38m26.9s,42.640812,,13.998,Kepler-band,5513,,0.94,14/05/14
1016,Kepler-209,c,Transit,2,41.749882,0.231,,,,,0.277,,0,1,0,,19h24m40.69s,291.169537,+42d38m26.9s,42.640812,,13.998,Kepler-band,5513,,0.94,14/05/14
1017,Kepler-21,b,Transit,1,2.785755,0.042507,0,82.58,0.033,Mass,0.146,12.9,0,1,0,,19h09m26.84s,287.361816,+38d42m50.5s,38.714016,108,8.25,V (Johnson),6131,1.34,1.86,14/05/14
1018,Kepler-210,b,Transit,2,2.453234,0.032,,,,,0.262,,0,1,0,,19h30m00.81s,292.503389,+43d04m59.3s,43.083149,,13.822,Kepler-band,4559,,0.65,14/05/14
1019,Kepler-210,c,Transit,2,7.972513,0.07,,,,,0.323,,0,1,0,,19h30m00.81s,292.503389,+43d04m59.3s,43.083149,,13.822,Kepler-band,4559,,0.65,14/05/14
1020,Kepler-211,b,Transit,2,4.138575,0.048,,,,,0.112,,0,1,0,,19h01m45.40s,285.439151,+43d10m06.5s,43.168484,,13.283,Kepler-band,5123,0.97,0.82,14/05/14
1021,Kepler-211,c,Transit,2,6.04045,0.062,,,,,0.115,,0,1,0,,19h01m45.40s,285.439151,+43d10m06.5s,43.168484,,13.283,Kepler-band,5123,0.97,0.82,14/05/14
1022,Kepler-212,b,Transit,2,16.257582,0.133,,,,,0.097,,0,1,0,,19h10m29.00s,287.620834,+43d08m30.0s,43.141678,,13.178,Kepler-band,5852,1.16,1.46,14/05/14
1023,Kepler-212,c,Transit,2,31.805174,0.207,,,,,0.244,,0,1,0,,19h10m29.00s,287.620834,+43d08m30.0s,43.141678,,13.178,Kepler-band,5852,1.16,1.46,14/05/14
1024,Kepler-213,b,Transit,2,2.46236,0.036,,,,,0.145,,0,1,0,,19h23m17.80s,290.824182,+44d38m49.9s,44.647186,,13.648,Kepler-band,5696,0.94,1.2,14/05/14
1025,Kepler-213,c,Transit,2,4.822962,0.057,,,,,0.209,,0,1,0,,19h23m17.80s,290.824182,+44d38m49.9s,44.647186,,13.648,Kepler-band,5696,0.94,1.2,14/05/14
1026,Kepler-214,b,Transit,2,15.660544,0.13,,,,,0.233,,0,1,0,,18h59m01.16s,284.754851,+44d57m21.7s,44.956032,,13.949,Kepler-band,6169,,1.35,14/05/14
1027,Kepler-214,c,Transit,2,28.7798,0.194,,,,,0.19,,0,1,0,,18h59m01.16s,284.754851,+44d57m21.7s,44.956032,,13.949,Kepler-band,6169,,1.35,14/05/14
1028,Kepler-215,b,Transit,4,9.360672,0.084,,,,,0.145,,0,1,0,,19h39m53.64s,294.973509,+45d12m49.3s,45.213688,,13.58,Kepler-band,5739,0.77,1.03,14/05/14
1029,Kepler-215,c,Transit,4,14.667108,0.113,,,,,0.158,,0,1,0,,19h39m53.64s,294.973509,+45d12m49.3s,45.213688,,13.58,Kepler-band,5739,0.77,1.03,14/05/14
1030,Kepler-215,d,Transit,4,30.864423,0.185,,,,,0.213,,0,1,0,,19h39m53.64s,294.973509,+45d12m49.3s,45.213688,,13.58,Kepler-band,5739,0.77,1.03,14/05/14
1031,Kepler-215,e,Transit,4,68.16101,0.314,,,,,0.156,,0,1,0,,19h39m53.64s,294.973509,+45d12m49.3s,45.213688,,13.58,Kepler-band,5739,0.77,1.03,14/05/14
1032,Kepler-216,b,Transit,2,7.693641,0.079,,,,,0.21,,0,1,0,,19h34m54.74s,293.728072,+46d07m45.0s,46.129154,,13.998,Kepler-band,6091,,1.26,14/05/14
1033,Kepler-216,c,Transit,2,17.406669,0.136,,,,,0.271,,0,1,0,,19h34m54.74s,293.728072,+46d07m45.0s,46.129154,,13.998,Kepler-band,6091,,1.26,14/05/14
1034,Kepler-217,b,Transit,2,5.374943,0.065,,,,,0.199,,0,1,0,,19h32m09.06s,293.037744,+46d16m39.0s,46.277508,,13.294,Kepler-band,6171,,1.8,14/05/14
1035,Kepler-217,c,Transit,2,8.586004,0.089,,,,,0.165,,0,1,0,,19h32m09.06s,293.037744,+46d16m39.0s,46.277508,,13.294,Kepler-band,6171,,1.8,14/05/14
1036,Kepler-218,b,Transit,2,3.619337,0.046,,,,,0.132,,0,1,0,,19h41m39.07s,295.412811,+46d15m59.3s,46.266472,,13.967,Kepler-band,5502,,1.06,14/05/14
1037,Kepler-218,c,Transit,2,44.699576,0.248,,,,,0.28,,0,1,0,,19h41m39.07s,295.412811,+46d15m59.3s,46.266472,,13.967,Kepler-band,5502,,1.06,14/05/14
1038,Kepler-219,b,Transit,3,4.585512,0.057,,,,,0.263,,0,1,0,,19h14m57.36s,288.73898,+46d45m45.2s,46.762558,,13.764,Kepler-band,5786,,1.49,14/05/14
1039,Kepler-219,c,Transit,3,22.714613,0.165,,,,,0.319,,0,1,0,,19h14m57.36s,288.73898,+46d45m45.2s,46.762558,,13.764,Kepler-band,5786,,1.49,14/05/14
1040,Kepler-219,d,Transit,3,47.903645,0.272,,,,,0.251,,0,1,0,,19h14m57.36s,288.73898,+46d45m45.2s,46.762558,,13.764,Kepler-band,5786,,1.49,14/05/14
1041,Kepler-22,b,Transit,1,289.8623,0.849,0,89.764,0.113,Mass,0.212,14.7,0,1,0,,19h16m52.20s,289.217484,+47d53m04.1s,47.884464,190,11.664,Kepler-band,5518,0.97,0.98,14/05/14
1042,Kepler-220,b,Transit,4,4.159807,0.046,,,,,0.072,,0,1,0,,19h26m01.50s,291.506237,+46d53m44.8s,46.895779,,13.177,Kepler-band,4632,,0.67,14/05/14
1043,Kepler-220,c,Transit,4,9.034199,0.076,,,,,0.14,,0,1,0,,19h26m01.50s,291.506237,+46d53m44.8s,46.895779,,13.177,Kepler-band,4632,,0.67,14/05/14
1044,Kepler-220,d,Transit,4,28.122397,0.163,,,,,0.087,,0,1,0,,19h26m01.50s,291.506237,+46d53m44.8s,46.895779,,13.177,Kepler-band,4632,,0.67,14/05/14
1045,Kepler-220,e,Transit,4,45.902733,0.226,,,,,0.119,,0,1,0,,19h26m01.50s,291.506237,+46d53m44.8s,46.895779,,13.177,Kepler-band,4632,,0.67,14/05/14
1046,Kepler-221,b,Transit,4,2.795906,0.037,,,,,0.153,,0,1,0,,19h46m37.14s,296.654765,+46d50m07.0s,46.83527,,13.749,Kepler-band,5243,0.72,0.82,14/05/14
1047,Kepler-221,c,Transit,4,5.690586,0.059,,,,,0.261,,0,1,0,,19h46m37.14s,296.654765,+46d50m07.0s,46.83527,,13.749,Kepler-band,5243,0.72,0.82,14/05/14
1048,Kepler-221,d,Transit,4,10.04156,0.087,,,,,0.244,,0,1,0,,19h46m37.14s,296.654765,+46d50m07.0s,46.83527,,13.749,Kepler-band,5243,0.72,0.82,14/05/14
1049,Kepler-221,e,Transit,4,18.369917,0.13,,,,,0.235,,0,1,0,,19h46m37.14s,296.654765,+46d50m07.0s,46.83527,,13.749,Kepler-band,5243,0.72,0.82,14/05/14
1050,Kepler-222,b,Transit,3,3.936981,0.048,,,,,0.282,,0,1,0,,19h11m37.46s,287.9061,+46d56m16.0s,46.937767,,15.063,Kepler-band,5433,,0.87,14/05/14
1051,Kepler-222,c,Transit,3,10.08881,0.091,,,,,0.414,,0,1,0,,19h11m37.46s,287.9061,+46d56m16.0s,46.937767,,15.063,Kepler-band,5433,,0.87,14/05/14
1052,Kepler-222,d,Transit,3,28.081912,0.18,,,,,0.329,,0,1,0,,19h11m37.46s,287.9061,+46d56m16.0s,46.937767,,15.063,Kepler-band,5433,,0.87,14/05/14
1053,Kepler-223,b,Transit,4,7.384108,0.073,,,,,0.151,,0,1,0,,19h53m16.41s,298.318356,+47d16m46.2s,47.279495,,15.344,Kepler-band,5829,,1.02,14/05/14
1054,Kepler-223,c,Transit,4,9.848183,0.088,,,,,0.178,,0,1,0,,19h53m16.41s,298.318356,+47d16m46.2s,47.279495,,15.344,Kepler-band,5829,,1.02,14/05/14
1055,Kepler-223,d,Transit,4,14.788759,0.116,,,,,0.266,,0,1,0,,19h53m16.41s,298.318356,+47d16m46.2s,47.279495,,15.344,Kepler-band,5829,,1.02,14/05/14
1056,Kepler-223,e,Transit,4,19.721734,0.14,,,,,0.214,,0,1,0,,19h53m16.41s,298.318356,+47d16m46.2s,47.279495,,15.344,Kepler-band,5829,,1.02,14/05/14
1057,Kepler-224,b,Transit,4,3.132924,0.038,,,,,0.124,,0,1,0,,19h23m44.23s,290.934287,+47d21m27.4s,47.357601,,15.644,Kepler-band,5018,0.74,0.68,14/05/14
1058,Kepler-224,c,Transit,4,5.925003,0.058,,,,,0.278,,0,1,0,,19h23m44.23s,290.934287,+47d21m27.4s,47.357601,,15.644,Kepler-band,5018,0.74,0.68,14/05/14
1059,Kepler-224,d,Transit,4,11.349393,0.089,,,,,0.205,,0,1,0,,19h23m44.23s,290.934287,+47d21m27.4s,47.357601,,15.644,Kepler-band,5018,0.74,0.68,14/05/14
1060,Kepler-224,e,Transit,4,18.643577,0.124,,,,,0.176,,0,1,0,,19h23m44.23s,290.934287,+47d21m27.4s,47.357601,,15.644,Kepler-band,5018,0.74,0.68,14/05/14
1061,Kepler-225,b,Transit,2,6.738975,0.056,,,,,0.107,,0,1,0,,19h28m46.56s,292.193984,+47d27m25.5s,47.457096,,15.962,Kepler-band,3682,,0.48,14/05/14
1062,Kepler-225,c,Transit,2,18.794234,0.111,,,,,0.164,,0,1,0,,19h28m46.56s,292.193984,+47d27m25.5s,47.457096,,15.962,Kepler-band,3682,,0.48,14/05/14
1063,Kepler-226,b,Transit,3,3.940997,0.047,,,,,0.138,,0,1,0,,19h29m30.27s,292.376129,+47d52m51.6s,47.880989,,15.416,Kepler-band,5571,0.86,0.8,14/05/14
1064,Kepler-226,c,Transit,3,5.349555,0.058,,,,,0.203,,0,1,0,,19h29m30.27s,292.376129,+47d52m51.6s,47.880989,,15.416,Kepler-band,5571,0.86,0.8,14/05/14
1065,Kepler-226,d,Transit,3,8.109044,0.076,,,,,0.109,,0,1,0,,19h29m30.27s,292.376129,+47d52m51.6s,47.880989,,15.416,Kepler-band,5571,0.86,0.8,14/05/14
1066,Kepler-227,b,Transit,2,9.488015,0.09,,,,,0.277,,0,1,0,,19h27m44.22s,291.934236,+48d08m29.9s,48.141651,,15.347,Kepler-band,5854,,1.09,14/05/14
1067,Kepler-227,c,Transit,2,54.418694,0.29,,,,,0.271,,0,1,0,,19h27m44.22s,291.934236,+48d08m29.9s,48.141651,,15.347,Kepler-band,5854,,1.09,14/05/14
1068,Kepler-228,b,Transit,3,2.566546,0.038,,,,,0.136,,0,1,0,,19h45m08.67s,296.286142,+48d13m28.8s,48.224667,,15.714,Kepler-band,6043,,1.01,14/05/14
1069,Kepler-228,c,Transit,3,4.134444,0.052,,,,,0.241,,0,1,0,,19h45m08.67s,296.286142,+48d13m28.8s,48.224667,,15.714,Kepler-band,6043,,1.01,14/05/14
1070,Kepler-228,d,Transit,3,11.094286,0.101,,,,,0.36,,0,1,0,,19h45m08.67s,296.286142,+48d13m28.8s,48.224667,,15.714,Kepler-band,6043,,1.01,14/05/14
1071,Kepler-229,b,Transit,3,6.252972,0.062,,,,,0.196,,0,1,0,,19h07m59.87s,286.999471,+48d22m32.9s,48.375797,,15.841,Kepler-band,5120,,0.73,14/05/14
1072,Kepler-229,c,Transit,3,16.068638,0.117,,,,,0.439,,0,1,0,,19h07m59.87s,286.999471,+48d22m32.9s,48.375797,,15.841,Kepler-band,5120,,0.73,14/05/14
1073,Kepler-229,d,Transit,3,41.194912,0.22,,,,,0.343,,0,1,0,,19h07m59.87s,286.999471,+48d22m32.9s,48.375797,,15.841,Kepler-band,5120,,0.73,14/05/14
1074,Kepler-23,b,Transit,3,7.1073,0.075,,,0.8,Mass,0.17,,1,1,0,,19h36m52.54s,294.218924,+49d28m45.2s,49.479225,800,13.438,Kepler-band,5828,1.11,1.55,14/05/14
1075,Kepler-23,c,Transit,3,10.7421,0.099,,,2.7,Mass,0.285,,1,1,0,,19h36m52.54s,294.218924,+49d28m45.2s,49.479225,800,13.438,Kepler-band,5828,1.11,1.55,14/05/14
1076,Kepler-23,d,Transit,3,15.274299,0.124,,,,,0.196,,1,1,0,,19h36m52.54s,294.218924,+49d28m45.2s,49.479225,800,13.438,Kepler-band,5828,1.11,1.55,14/05/14
1077,Kepler-230,b,Transit,2,32.625555,0.191,,,,,0.38,,0,1,0,,19h02m52.45s,285.718538,+48d30m21.1s,48.505859,,15.082,Kepler-band,5588,,0.82,14/05/14
1078,Kepler-230,c,Transit,2,91.773242,0.38,,,,,0.182,,0,1,0,,19h02m52.45s,285.718538,+48d30m21.1s,48.505859,,15.082,Kepler-band,5588,,0.82,14/05/14
1079,Kepler-231,b,Transit,2,10.065275,0.074,,,,,0.154,,0,1,0,,19h35m53.60s,293.973353,+50d31m54.9s,50.531914,,15.385,Kepler-band,3767,0.58,0.49,14/05/14
1080,Kepler-231,c,Transit,2,19.271566,0.114,,,,,0.172,,0,1,0,,19h35m53.60s,293.973353,+50d31m54.9s,50.531914,,15.385,Kepler-band,3767,0.58,0.49,14/05/14
1081,Kepler-232,b,Transit,2,4.431222,0.054,,,,,0.275,,0,1,0,,19h43m15.88s,295.816158,+51d07m18.3s,51.121742,,15.367,Kepler-band,5847,,0.97,14/05/14
1082,Kepler-232,c,Transit,2,11.379349,0.101,,,,,0.342,,0,1,0,,19h43m15.88s,295.816158,+51d07m18.3s,51.121742,,15.367,Kepler-band,5847,,0.97,14/05/14
1083,Kepler-233,b,Transit,2,8.472382,0.077,,,,,0.217,,0,1,0,,19h45m27.97s,296.366522,+51d19m10.3s,51.319523,,15.339,Kepler-band,5360,,0.76,14/05/14
1084,Kepler-233,c,Transit,2,60.418955,0.287,,,,,0.242,,0,1,0,,19h45m27.97s,296.366522,+51d19m10.3s,51.319523,,15.339,Kepler-band,5360,,0.76,14/05/14
1085,Kepler-234,b,Transit,2,2.711506,0.04,,,,,0.33,,0,1,0,,19h26m36.84s,291.653519,+38d29m40.8s,38.494659,,15.541,Kepler-band,6224,,1.11,14/05/14
1086,Kepler-234,c,Transit,2,7.21205,0.077,,,,,0.313,,0,1,0,,19h26m36.84s,291.653519,+38d29m40.8s,38.494659,,15.541,Kepler-band,6224,,1.11,14/05/14
1087,Kepler-235,b,Transit,4,3.340222,0.037,,,,,0.199,,0,1,0,,19h04m18.98s,286.079103,+39d16m41.9s,39.278313,,15.954,Kepler-band,4255,0.59,0.55,14/05/14
1088,Kepler-235,c,Transit,4,7.824904,0.065,,,,,0.114,,0,1,0,,19h04m18.98s,286.079103,+39d16m41.9s,39.278313,,15.954,Kepler-band,4255,0.59,0.55,14/05/14
1089,Kepler-235,d,Transit,4,20.060548,0.122,,,,,0.183,,0,1,0,,19h04m18.98s,286.079103,+39d16m41.9s,39.278313,,15.954,Kepler-band,4255,0.59,0.55,14/05/14
1090,Kepler-235,e,Transit,4,46.183669,0.213,,,,,0.198,,0,1,0,,19h04m18.98s,286.079103,+39d16m41.9s,39.278313,,15.954,Kepler-band,4255,0.59,0.55,14/05/14
1091,Kepler-236,b,Transit,2,8.295611,0.065,,,,,0.14,,0,1,0,,18h55m27.93s,283.866378,+39d53m53.1s,39.898092,,15.414,Kepler-band,3750,0.56,0.51,14/05/14
1092,Kepler-236,c,Transit,2,23.968127,0.132,,,,,0.178,,0,1,0,,18h55m27.93s,283.866378,+39d53m53.1s,39.898092,,15.414,Kepler-band,3750,0.56,0.51,14/05/14
1093,Kepler-237,b,Transit,2,4.715106,0.05,,,,,0.126,,0,1,0,,18h52m53.13s,283.221387,+40d25m18.6s,40.421834,,15.289,Kepler-band,4861,0.7,0.72,14/05/14
1094,Kepler-237,c,Transit,2,8.103636,0.071,,,,,0.186,,0,1,0,,18h52m53.13s,283.221387,+40d25m18.6s,40.421834,,15.289,Kepler-band,4861,0.7,0.72,14/05/14
1095,Kepler-238,b,Transit,5,2.090876,0.034,,,,,0.154,,0,1,0,,19h11m35.31s,287.897113,+40d38m16.1s,40.637815,,15.084,Kepler-band,5751,1.06,1.43,14/05/14
1096,Kepler-238,c,Transit,5,6.155557,0.069,,,,,0.213,,0,1,0,,19h11m35.31s,287.897113,+40d38m16.1s,40.637815,,15.084,Kepler-band,5751,1.06,1.43,14/05/14
1097,Kepler-238,d,Transit,5,13.233549,0.115,,,,,0.274,,0,1,0,,19h11m35.31s,287.897113,+40d38m16.1s,40.637815,,15.084,Kepler-band,5751,1.06,1.43,14/05/14
1098,Kepler-238,e,Transit,5,23.654,,,,0.534,Mass,0.5,,1,1,0,,19h11m35.31s,287.897113,+40d38m16.1s,40.637815,,15.084,Kepler-band,5751,1.06,1.43,14/05/14
1099,Kepler-238,f,Transit,5,50.447,,,,0.042,Mass,0.178,,1,1,0,,19h11m35.31s,287.897113,+40d38m16.1s,40.637815,,15.084,Kepler-band,5751,1.06,1.43,14/05/14
1100,Kepler-239,b,Transit,2,11.763051,0.095,,,,,0.208,,0,1,0,,19h36m48.51s,294.202137,+40d39m48.3s,40.663406,,15.208,Kepler-band,4914,0.74,0.76,14/05/14
1101,Kepler-239,c,Transit,2,56.228098,0.268,,,,,0.224,,0,1,0,,19h36m48.51s,294.202137,+40d39m48.3s,40.663406,,15.208,Kepler-band,4914,0.74,0.76,14/05/14
1102,Kepler-24,b,Transit,4,8.1453,0.08,,,1.6,Mass,0.214,,1,1,0,,19h21m39.18s,290.413267,+38d20m37.5s,38.343754,1200,14.925,Kepler-band,5897,1.03,1.29,14/05/14
