id,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate
680,K2-3,d,Transit,3,44.5705,0.2086,0.045,89.79,0.03492,Mass,0.136,17.5,0,0,1,,11h29m20.39s,172.334949,-01d27m17.2s,-1.454787,42,12.17,V (Johnson),,0.61,0.55,15/10/15
681,K2-4,b,Transit,1,10.00329,0.0777,,,,,0.211,,0,0,1,,11h38m58.95s,174.74564,-03d54m20.1s,-3.905585,,14.907,V (Johnson),4197,0.63,0.6,16/07/15
682,K2-5,b,Transit,2,5.73491,0.0509,,,,,0.171,,0,0,1,,11h17m12.84s,169.303502,-01d52m40.7s,-1.877976,,14.912,V (Johnson),4102,0.53,0.52,16/07/15
683,K2-5,c,Transit,2,10.93406,0.0783,,,,,0.171,,0,0,1,,11h17m12.84s,169.303502,-01d52m40.7s,-1.877976,,14.912,V (Johnson),4102,0.53,0.52,16/07/15
684,K2-6,b,Transit,1,30.94191,0.1898,,,,,0.223,,0,0,1,,11h52m46.14s,178.19226,-01d11m54.5s,-1.198477,,12.654,V (Johnson),5850,0.97,0.96,16/07/15
685,K2-7,b,Transit,1,28.67992,0.1814,,,,,0.238,,0,0,1,,11h08m22.51s,167.093771,-01d03m56.7s,-1.065755,,13.213,V (Johnson),5772,0.97,0.96,16/07/15
686,K2-8,b,Transit,1,10.35176,0.0856,,,,,0.265,,0,0,1,,11h19m10.48s,169.793665,-00d17m03.8s,-0.284375,,14.609,V (Johnson),4890,0.79,0.74,16/07/15
687,K2-9,b,Transit,1,18.4498,0.091,,87.983,,,0.201,,0,0,1,,11h45m03.47s,176.264468,+00d00m19.1s,0.005301,110,15.63,V (Johnson),3390,0.3,0.31,21/01/16
688,KELT-1,b,Transit,1,1.217514,0.02466,0.0099,87.8,27.23,Mass,1.11,24.7,0,0,0,,00h01m26.91s,0.362142,+39d23m01.7s,39.383808,262,10.701,V (Johnson),6518,1.32,1.46,14/05/14
689,KELT-14,b,Transit,1,1.7100588,0.02956,0,79.67,1.196,Mass,1.52,0.421,0,0,0,,07h13m12.36s,108.301485,-42d24m35.1s,-42.409744,201,10.948,V (Johnson),5802,1.18,1.37,17/03/16
