pdes,a,e,M,per
35P,28.8435453,0.97405,359.9715976,155
36P,4.161500021015582,.2617095134990785,98.97979457264906,8.48951840115475
37P,3.435252239041289,.5405801452774754,70.87561172651786,6.36716565809481
38P,11.2476696975501,0.860022494401565,3.705608922904022,37.7226360578495
39P,7.25148931544269,0.245513956937926,338.345849678193,19.5276066944962
40P,4.939864962861835,.6316152020645802,25.59861596735432,10.9794558818843
41P,3.08544379187977,0.66041266487128,346.0350247582312,5.41981747692292
42P,4.876460018192112,.5841747519155726,23.77772214832961,10.7687477482499
43P,3.34922191681506,.5946651580229637,58.08204437832079,6.12948644579256
44P,3.693173969476632,.4263587224185384,37.48368459753332,7.0975400373726
45P,3.021546191968544,.8246720758970018,42.638552274391,5.25233065880804
46P,3.087646694227751,.659202561356482,57.51960214822232,5.42562286195012
47P,4.123164511232739,.3167267437788968,283.1757066819097,8.3724815085334
48P,3.53174298156458,.4252128228718672,186.3162928006837,6.63730597007971
49P,3.566556837561493,.6002741375112215,154.3344573629339,6.73568744437421
50P,4.084807073353012,.5302606367828769,354.4859914589077,8.25592096046928
51P,3.71446643000283,.542437041421476,7.34011923544291,7.15900818286303
51P-A,3.580672324457032,.5620663599153678,303.4588923007622,6.77571408202069
51P-D,3.71436788288775,.5424857920569471,350.9555637520852,7.15872328531293
52P,3.857849696139989,.5403891098664094,33.49388213604229,7.5775037018532
53P,5.411319767385534,.5514593086814216,340.7446612627342,12.5881815993562
54P,3.7904782930723568412645,0.4270474945217546114406,339.8904731313036,7.37987869257988
55P,10.3383382297577,0.905552720972412,4.97833968468816,33.2417827583798
56P,5.086080145567667,.5068157697508696,331.863380751342,11.4705172248636
57P,3.452538989318305,.4992889286810742,32.3770843557389,6.41528699620548
57P-A,3.45215357827758,0.499040120360139,23.64084019027458,6.41421280698932
58P,4.08035723716121,0.661506727386572,19.53759774139457,8.24243409745619
59P,4.489785903645472,.4754287676142775,41.68377677599364,9.51363861691776
60P,3.505780291945367,.5384297030693533,2.923734869534633,6.56425200029049
61P,3.680790560430611,.4256876949215883,11.56458681194695,7.06187233342162
62P,3.52862876870025,0.57800841084276,31.68213685772162,6.62852896118174
63P,5.587749927389681,.6509190323024351,24.1890970612711,13.208808523438
64P,4.438474029980045,.6897325315715446,34.10993526032826,9.35101442486113
65P,3.895945433566345,.253123704975375,274.8722127979199,7.69002055369328
66P,6.00224069684791,0.787701486880903,2.748548428873332,14.7054498017365
67P,3.462505635805988,.64093009801435,12.8359406450424,6.44308611143738
68P,4.8955055208880651207437,0.6406870098523979040194,355.3616677714903,10.8318969402737
69P,3.881643499563681,.4144624763356466,25.83257715246469,7.64771458294199
70P,3.673496445990252,.4538077525760331,43.58917888161571,7.04089127921542
71P,3.127133494405472,.498175178622493,80.75350038001254,5.53003441635884
72P,4.336084232317145,.8191545266363583,14.33936241459959,9.02931423648274
73P,3.05653029377592,0.694826910615125,17.91123786358211,5.34381308471953
73P-B,3.0618412252795819128437,0.6932855208263886126474,357.4384229893136,5.35774699700879
73P-C,3.063468722115394,.6922258013072282,23.73073531906494,5.36201936497173
73P-E,3.06229329930756,0.6938774627627,356.7899338999595,5.35893362989882
73P-G,3.06335181161612,0.693412971192622,349.8718318710391,5.36171242350909
73P-H,3.06483261003617,0.693565806671118,349.8454221686491,5.36560060311544
73P-J,3.04420865724153,0.691538816676964,345.3126333988963,5.31153230587721
73P-K,3.06430700077958,0.693543485158215,349.8533881432975,5.36422038658229
73P-L,3.07631556437795,0.694735674965028,349.8933270105301,5.39578363248632
73P-M,3.06835160960417,0.693940938277251,349.8670730198247,5.37484432085886
73P-N,3.05239117034204,0.692288993783599,349.7850410923837,5.33296195128557
73P-P,3.08503544059736,0.695575899386973,350.0226321018555,5.4187415622391
73P-Q,3.11832472400051,0.698647244447971,350.2130766954646,5.5066846858957
73P-R,3.06994234287616,0.694088213263508,349.8891512863724,5.37902460370814
73P-S,3.3340747694428,0.69335823324,350.9725498756171,6.08795179228671
73P-T,3.26075831524011,0.711932414090286,350.6764189561788,5.888248334766
73P-U,3.02441289019931,0.689397458779432,349.4994641452583,5.25980717089293
73P-V,2.97607817120721,0.69348697056495,349.3500381939082,5.13422271626054
73P-W,3.10529750382754,0.697573249761406,350.0091178735023,5.4722133789927
73P-X,3.07645099021487,0.694751288807723,349.8526548762619,5.39613993690678
73P-Y,3.34821195686902,0.719502303654523,351.0562620415104,6.12671412915886
73P-Z,3.07211624836372,0.69335823324,349.876181395664,5.38473915450535
73P-AA,2.94109009142002,0.680633878945504,349.0246757133873,5.04394908784768
73P-AB,3.04180282124803,0.691246808725753,352.8076642007583,5.30523699962686
73P-AC,3.08254721749018,0.695367114577502,352.9561980522087,5.41218718748961
73P-AD,3.06777308736794,0.69335823324,349.7867838211022,5.37332429278925
73P-AE,3.0963752841415,0.696725656659651,349.9918356806567,5.44864597413083
73P-AF,2.90757509348788,0.676299018237858,349.2621879338159,4.95797819317181
73P-AG,3.08672271282378,0.695781146462459,349.8226734973686,5.42318760944666
73P-AH,3.07520604461415,0.69335823324,349.8328553284363,5.39286478917067
73P-AI,3.111488252589795,.698251127367121,349.4588799116804,5.48858571222787
73P-AJ,4.68497505729183,0.800195285662543,354.6531984313296,10.1407278330903
73P-AK,3.05798267872401,0.69335823324,349.792353539475,5.34762240191595
73P-AL,3.12759000072912,0.699842823483816,350.1270880157023,5.53124539175354
73P-AM,3.03591116618305,0.69335823324,349.7146820705487,5.28983092886262
73P-AN,3.07622840208973,0.694756955270123,349.895184725943,5.39555431326974
73P-AO,3.0720255879213,0.69376877393668,349.9596645649388,5.38450079475938
