full_name,epoch_mjd,a,e,i,om,w,ma,per_y
"296783 (2009 UT151)",57400,5.185226170577798,.03646976153638496,9.216367164841731,275.9888907351489,167.0799315711895,151.3302682566833,11.8075490599204
"296786 (2009 UX153)",57400,5.157607786141291,.1040231668304467,5.381594708126635,132.0853880897611,266.9472762477879,180.8189683567072,11.7133378933944
"296787 (2009 UR154)",57400,5.320531843784175,.04893111933759389,7.602381289882113,87.12022396668883,250.6765453511676,225.5165653430971,12.2727184886385
"296793 (2009 VL25)",57400,5.258210336456862,.0289958992406183,17.27335268753399,242.6805527296898,41.28553949169886,298.9164181208814,12.0577183199549
"296809 (2009 VC79)",57400,5.228429216739316,.07030701931277604,20.53949747149052,266.3832198787981,68.84877259542893,250.8222633333218,11.9554258864836
"296817 (2009 WF3)",57400,5.300773078234371,.05008473416895128,3.374531945519848,86.58606031782374,269.0210260375596,213.3500171381611,12.2044165316244
"296853 (2009 WC185)",57400,5.216846481907466,.09498421533077932,4.705065615462209,10.1996415212906,58.89112038280213,153.2940201427404,11.9157199440172
"296887 (2010 AB88)",57400,5.214722316581021,.02837884609278494,28.93203071479373,41.52842631387471,243.8258978236835,283.0847679989495,11.9084430241676
"297019 (2010 GN23)",57400,5.166408399417748,.04634008419968651,32.57917180547907,106.996008883261,171.5490742217828,168.0564479327249,11.7433310189822
"297047 (2010 HT21)",57400,5.267156097364698,.05158370345462389,27.91567351425671,208.1045622096701,64.47920458925583,187.0652409185024,12.0885019867329
"297048 (2010 HD24)",57400,5.257590743752441,.0597088510245218,14.76885268450704,229.3908371098886,102.0991111568777,139.6044208003139,12.0555871801542
"297049 (2010 HS48)",57400,5.295451342257978,.04048100225830401,4.167795897929399,290.9529248179182,269.1610191671495,257.971645969212,12.1860421235551
"297052 (2010 HB81)",57400,5.224283177325298,.06235863660945835,19.96384352354987,84.07168764739656,233.8843730695107,155.7021125239929,11.9412080869184
"297056 (2010 HA109)",57400,5.275419171261799,.1303628726222419,16.88277949168724,200.2776066710169,121.1257252263532,151.5134378184139,12.1169596636342
"297057 (2010 HU111)",57400,5.198774389523331,.1430763772928174,26.12247479255965,303.233027978264,342.3153180414105,173.4143076790609,11.8538563098975
"297059 (2010 JV)",57400,5.283289420927299,.06267395027028605,21.61506403661244,308.5746847426705,354.2896268418726,166.9587075198793,12.1440852019093
"297111 (2010 PY65)",57400,5.22522193068773,.05531111800033658,21.7559635803328,283.1865607171297,156.4107085551628,122.0459763461355,11.9444268115997
"297144 (2010 TM177)",57400,5.139678715643594,.05548142512363876,8.880887733702597,74.90735345244281,17.72357413637053,118.2608221679712,11.6523134844586
"297147 (2010 UB6)",57400,5.242717298792967,.07968993335004933,7.357463950116322,94.84366399009743,351.8196265810332,126.2555273937114,12.0044664535777
"297155 (2010 UV66)",57400,5.174224392356252,.1275576829879391,7.852522301552336,257.6359689615302,190.7646294907573,127.3056702408549,11.7699899155417
