pdes,a,e,M,pha
6997,5.179726913919829,.1002827182818772,204.6556939767691,N
6998,5.186477635429006,.06934132282976874,158.1104350845111,N
7119,5.15614752327897,.1011804063610905,158.225035240537,N
7152,5.15587504233513,.06295908102992927,159.819988621007,N
7214,5.174140336328714,.03351822620270868,193.6059972736289,N
7352,5.137002572696961,.03625423233976763,190.3588751814451,N
7543,5.188190790018855,.06283503021805362,193.6874952197642,N
7641,5.215574575688351,.05308945752551111,104.7345836703159,N
7815,5.27860211291675,.05866752445803787,81.8247906133802,N
8060,5.189870356805237,.09129515468672937,200.2249010784032,N
8125,5.178757772884961,.04624081847215047,225.5338765242027,N
8241,5.141348110054462,.04275590363918844,313.5535084005018,N
8317,5.294089111513363,.04508667763737007,277.9969727957441,N
9023,5.231206757567216,.06340295493007696,125.2385324065201,N
9030,5.247174024565676,.02394039648417283,44.94164430601078,N
9142,5.175104961316666,.1287815829212124,131.794473941094,N
9430,5.273018692632621,.05274311322814591,173.9196801316639,N
9431,5.124107854296263,.08417675500969216,188.2423057766613,N
9590,5.10372697035586,.04165332995388026,354.0594967059055,N
9694,5.111241096743391,.03399819564507878,156.1040888910338,N
9712,5.232027673868158,.1267227445707934,129.8283165809484,N
9713,5.177171551023899,.05364506521269913,104.2509815508003,N
9790,5.252570439041589,.05415445946102622,194.1257377760757,N
9799,5.192477927185769,.0468127634991676,204.1823609556819,N
9807,5.211912507330791,.1534410105425168,152.9506820188599,N
9817,5.273705301699458,.03971953893449836,100.5234469211024,N
9818,5.216447086026426,.003506971960179935,39.06563680033758,N
9828,5.179381180962757,.08526135212618523,113.0861711796756,N
9857,5.147014410545792,.02595192942432294,303.9025915484576,N
9907,5.294519767902138,.06583110783432856,154.456492775672,N
10247,5.25665933179562,.008904054943956352,119.8087302519811,N
10664,5.179606451762682,.03160175722227193,128.7583655972328,N
10989,5.168967102473967,.085934251253189,192.2024237837674,N
11089,5.198987169924461,.02285886986967214,294.131085858671,N
11251,5.159373960983208,.002628692453992679,7.758733784148938,N
