name,a,e,pha
"Don Quixote",4.236724395199537,.7119532060446201,N
Mera,1.644586325172603,.3201600877978364,N
Amun,.9736750968684723,.2804802739544784,N
Dionysus,2.198891252980379,.5414710147224142,Y
Bede,1.774428825389564,.2840914097366772,N
Camillo,1.413433754181378,.3016827582082827,N
Cruithne,.9977056598499723,.5149117672620216,N
Anagolay,1.834574869828645,.4456173697044406,Y
Epona,1.504984252873761,.7022356209940693,N
Nyx,1.926084865621952,.4589729856302058,N
Huma,1.544369588263299,.3167972386454072,N
Wilson-Harrington,2.639201040376726,.6269774320219017,Y
Vishnu,1.059653890093643,.4439051938481083,Y
Magellan,1.820179552475178,.3265177929939554,N
Toutatis,2.534448118161193,.6293824383673633,Y
Cuno,1.982400134284544,.6344129047076564,Y
Morpheus,2.296648438865259,.7718224618305793,N
Ubasti,1.64697202227584,.4683236533016194,N
Poseidon,1.835217190645273,.6795743087689858,N
Aditi,2.579566651331267,.5649537846230851,N
Pan,1.442253526392916,.58654444167886,Y
Mithra,2.199397360844328,.6628382199269518,Y
Pocahontas,1.730701887314708,.2965340386639924,N
Cleobulus,2.707096939552881,.5230521199471186,N
Xanthus,1.04177387876107,.2501211493145077,N
Asclepius,1.022394755408817,.3570631152827726,Y
,2.240682318468509,.5187227548285513,N
Nereus,1.488725519364418,.3599730456898795,Y
,2.23464863071694,.5152349547294011,N
Castalia,1.063265833078226,.4831283646513978,Y
Ninkasi,1.370023150662158,.1684192964511713,N
,1.621239890780852,.6576181082954994,Y
Eric,2.001610313211525,.4484780677077354,N
Brucemurray,1.565477546580448,.2190404369212111,N
Ptah,1.635544086983976,.5000114654302648,Y
,1.486147963401171,.5691114952755846,N
Heracles,1.833668695813864,.7723581701033717,N
,1.551400259908108,.4781173420194919,Y
Lyapunov,2.980977399513085,.607700303559125,N
Davidaguilar,2.163252384711448,.4566702176411683,N
Taranis,3.32933244352472,.6355990649940011,N
Sekhmet,.9474585173798797,.2962263520571517,N
,2.435262881567866,.6358981882971291,N
,2.397521227281451,.5441626615245773,N
,.9856465912491561,.2794398364452267,N
,.9287201187573495,.4060052576182149,Y
Jasonwheeler,2.159560755682343,.4220836715794931,N
,2.195216037710317,.4539379517372522,N
,1.354943007438176,.3872454010366386,N
,2.142551332008138,.4371700085058867,N
Camarillo,1.794223412181379,.3041943026073716,N
,1.785428681407855,.7621834411043086,N
,1.271206925598446,.5852959915454071,Y
Zeus,2.262963046868979,.6537473302944989,N
Zao,2.102912203921489,.4237761400693074,N
Talos,1.081477952694662,.8268663783633101,N
Bivoj,1.893653102277697,.4439872721951286,N
,1.697844664467472,.6949635840034306,N
,2.440829984433072,.5363626336919392,N
Tara,2.222825074145276,.5055582752314579,N
Tanith,1.812352094271246,.3210483863799388,N
Almeria,1.624734082575277,.2892864469931932,N
,1.271149922986707,.4995956231614588,Y
